Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.06458112407211022,0.040963736267978314
Radio_Tumor Location,0.027677624602332963,0.016447580503172857
Radio_Vessel_encasement,0.019582891481088716,0.03023817248348824
Comorbidities_Other Tumors,0.009685401201838095,0.0020983841752782815
Radio_Tumor side,0.009544008483563116,0.007174896829333432
Pre-Op KPS,0.009331919406150569,0.012800434360406874
Age,0.008943089430894325,0.023140668948566014
Radio_Ventricle involment,0.00791799222340046,0.002077438706951591
Radio_Cystic_necrosis,0.005620360551431602,0.00549934067927732
Symptoms_Aphasia/dysartria,0.005160834217037813,0.003759890003697246
ICA/Syphon involvment,0.00484270060091907,0.004857771081947421
Charlson Comorbidity Index,0.004489218805231498,0.010950293233426077
Symptoms_Headache,0.0043831742665253245,0.00615444189326486
Symptoms_CN deficits,0.0038529515729939456,0.005023174073578035
Radio_Edema,0.0037469070342878164,0.006831807327589089
Optic Canal invasion,0.0032520325203251764,0.002815899083302188
Symptoms_Hyperprolatinemia,0.0029338989042064336,0.002608590276068625
Symptoms_Seizure,0.0024390243902438825,0.003150552132224391
Radio_Hyperostosis,0.002297631671968903,0.006369541871111235
ASA,0.0020148462354188323,0.006575711551013258
Comorbidities_Obesity,0.0019088016967126365,0.003455092437833187
Symptoms_Visual deficits,0.0018381053375751133,0.002020110577904514
Comorbidities_DM,0.0006009190526688135,0.009621979656895917
Comorbidities_Prior Stroke,0.0005302226935313126,0.0011934919064075398
Radio_Midline shift entity,0.0005302226935312681,0.005278608880547288
Date of surgery,0.0,0.0
Comorbidities_DVT,-0.00014139271827497967,0.00028278543655001486
Optic nerve/chiasm compression,-0.00035348179568752693,0.005133402791250037
Symptoms_Acute onset (1<month),-0.00035348179568752693,0.0016121250266513266
Radio_Dural_tail,-0.0010250972074938192,0.006314771974956269
Symptoms_Nausea/Vomit,-0.0014846235418876307,0.0020720185068580006
Comorbidities_Hyperlipidemia,-0.00151997172145637,0.004360309351745288
Comorbidities_Hypertension,-0.002297631671968947,0.006534156648400894
Symptoms_Cognitive/psychiatrist disorder,-0.002969247083775195,0.0025228795871411512
Symptoms_Incidental finding,-0.0031459879816189583,0.003164402519241397
Symptoms_Motor deficits,-0.003145987981619025,0.009976330941362455
Sex,-0.0032166843407564817,0.004693993358375804
Comorbidities_Cardiorespiratory,-0.0037469070342877496,0.0028065653222027844
Radio_Bone_invasion,-0.004277129727819018,0.00238016908724387
Radio_Calcification,-0.013891834570519634,0.005249650962385864
