Feature,Importance,Std
Symptoms_Headache,0.013698630136986356,0.0
Symptoms_Visual deficits,0.012328767123287721,0.007987605335404553
Symptoms_Aphasia/dysartria,0.012328767123287721,0.002739726027397271
Comorbidities_DM,0.010958904109589085,0.005479452054794543
Radio_Tumor side,0.00958904109589045,0.005479452054794542
Radio_Pre-Op max_axial_diam_mm,0.008219178082191836,0.010958904109589055
Radio_Ventricle involment,0.008219178082191813,0.006710930802145721
Symptoms_Nausea/Vomit,0.006849315068493178,0.0043318872057101256
Symptoms_Acute onset (1<month),0.006849315068493178,0.006126213636985749
Age,0.005479452054794565,0.006710930802145679
Charlson Comorbidity Index,0.005479452054794542,0.0027397260273972716
Radio_Midline shift entity,0.005479452054794542,0.0051255580640739125
Radio_Cystic_necrosis,0.005479452054794542,0.0027397260273972716
Symptoms_Hyperprolatinemia,0.0041095890410959065,0.0033554654010728604
Radio_Hyperostosis,0.0041095890410959065,0.0033554654010728604
Radio_Tumor Location,0.0041095890410959065,0.005479452054794542
Symptoms_Incidental finding,0.0041095890410959065,0.0033554654010728604
Pre-Op KPS,0.00136986301369868,0.007987605335404508
Radio_Calcification,0.001369863013698658,0.005125558064073877
ASA,0.001369863013698658,0.005125558064073877
ICA/Syphon involvment,0.001369863013698658,0.005125558064073878
Radio_Vessel_encasement,0.001369863013698658,0.005125558064073877
Radio_Bone_invasion,0.001369863013698658,0.005125558064073878
Radio_Dural_tail,0.0013698630136986356,0.002739726027397271
Comorbidities_Prior Stroke,0.0013698630136986356,0.002739726027397271
Comorbidities_Obesity,6.661338147750939e-17,0.008663774411420199
Date of surgery,0.0,0.0
Comorbidities_Other Tumors,0.0,0.0
Comorbidities_DVT,0.0,0.0
Symptoms_Seizure,0.0,0.0
Sex,0.0,0.0
Symptoms_Cognitive/psychiatrist disorder,0.0,0.0
Comorbidities_Hypertension,-0.0013698630136986135,0.002739726027397227
Optic Canal invasion,-0.0013698630136986135,0.002739726027397227
Comorbidities_Cardiorespiratory,-0.002739726027397205,0.005479452054794492
Radio_Edema,-0.002739726027397205,0.005479452054794492
Optic nerve/chiasm compression,-0.004109589041095841,0.003355465401072806
Comorbidities_Hyperlipidemia,-0.004109589041095841,0.003355465401072806
Symptoms_CN deficits,-0.013698630136986245,0.006126213636985749
Symptoms_Motor deficits,-0.019178082191780788,0.0051255580640739125
