Feature,Importance,Std
Radio_Vessel_encasement,0.07748538011695912,0.022479572394162966
ICA/Syphon involvment,0.039766081871345095,0.029923138444423795
Pre-Op KPS,0.031871345029239787,0.008849290667635873
Symptoms_CN deficits,0.02763157894736843,0.005179465986583391
Symptoms_Seizure,0.00862573099415207,0.0014174502507065692
Symptoms_Motor deficits,0.007699805068226184,0.008076447073826029
Charlson Comorbidity Index,0.007602339181286633,0.0022512299147078156
Comorbidities_DM,0.005701754385964963,0.0011593934944805243
Age,0.004970760233918204,0.01077053177035543
Radio_Ventricle involment,0.0037524366471735292,0.0018402736441032216
Symptoms_Acute onset (1<month),0.0026315789473684735,0.0037445170979139067
ASA,0.0023879142300195612,0.0021264546032428336
Radio_Edema,0.002290448343079965,0.006410929384991152
Sex,0.0021442495126705817,0.002771358130236409
Comorbidities_Obesity,0.0016569200779727566,0.004992213765778899
Comorbidities_Cardiorespiratory,0.0016569200779727345,0.00683895286225471
Radio_Pre-Op max_axial_diam_mm,0.0012670565302144831,0.03274309861538168
Radio_Cystic_necrosis,0.0009746588693957614,0.001874793768194078
Comorbidities_Hyperlipidemia,0.0008771929824561431,0.0010406509017574393
Radio_Hyperostosis,0.0007797270955166135,0.0020175674019965277
Symptoms_Visual deficits,0.0003411306042885087,0.0010519996659319453
Symptoms_Aphasia/dysartria,0.0,0.0
Comorbidities_Other Tumors,0.0,0.0
Comorbidities_DVT,0.0,0.0
Date of surgery,0.0,0.0
Comorbidities_Prior Stroke,0.0,0.0
Symptoms_Incidental finding,-0.0011695906432748204,0.005688201349479537
Radio_Bone_invasion,-0.001267056530214372,0.0013731971543474693
Optic Canal invasion,-0.0013645224171539461,0.007248933198424999
Symptoms_Hyperprolatinemia,-0.0019005847953216248,0.006849362761519932
Symptoms_Cognitive/psychiatrist disorder,-0.0019493177387913895,0.0013076420921051362
Radio_Calcification,-0.002534113060428811,0.002780768541459472
Radio_Midline shift entity,-0.004093567251461994,0.0036611383959050275
Symptoms_Nausea/Vomit,-0.00497076023391807,0.0012192978560620596
Symptoms_Headache,-0.006189083820662677,0.005277127515158491
Optic nerve/chiasm compression,-0.006237816764132531,0.010439092454314042
Comorbidities_Hypertension,-0.0066764132553605695,0.0072095115346472935
Radio_Dural_tail,-0.01047758284600384,0.006246567327159582
Radio_Tumor Location,-0.014083820662768032,0.012390440723739373
Radio_Tumor side,-0.022660818713450225,0.012741591302035851
