Feature,Importance,Std
Radio_Vessel_encasement,0.07972709551656917,0.01874375693238971
Pre-Op KPS,0.07553606237816765,0.03289924884224197
ICA/Syphon involvment,0.03211500974658867,0.018602584401921717
Symptoms_CN deficits,0.025389863547758275,0.0056125458280265085
Radio_Pre-Op max_axial_diam_mm,0.01208576998050681,0.01677970852626201
Symptoms_Motor deficits,0.009990253411305994,0.004284620787589307
Charlson Comorbidity Index,0.00989278752436642,0.0027159599986535713
Symptoms_Seizure,0.007504873294346992,0.0011048522464672673
Symptoms_Hyperprolatinemia,0.007261208576998013,0.0037666498750369448
Comorbidities_Other Tumors,0.006627680311890804,0.0035923815777742546
Radio_Cystic_necrosis,0.005311890838206601,0.002109635557691335
Optic nerve/chiasm compression,0.00516569200779724,0.011132464690233799
Radio_Ventricle involment,0.005019493177387924,0.0022888925079566514
Comorbidities_Cardiorespiratory,0.004678362573099437,0.0010383662647496649
Symptoms_Incidental finding,0.004678362573099393,0.00895732181745655
Symptoms_Nausea/Vomit,0.0031676413255360193,0.0019493177387914506
Sex,0.0024853801169590238,0.004753398415827095
Comorbidities_DM,0.0023879142300194723,0.0026754341581502316
Radio_Dural_tail,0.0020467836257309635,0.00487475611605017
Comorbidities_Hyperlipidemia,0.001510721247563307,0.0015364408158318181
Radio_Tumor side,0.000974658869395717,0.014273013103836597
Age,0.0008771929824561653,0.013406077565528134
Comorbidities_DVT,0.0007797270955165692,0.00041921663094754967
Radio_Midline shift entity,0.0004873294346978696,0.003919898158321649
Symptoms_Aphasia/dysartria,0.0004873294346978696,0.003944058005906119
Radio_Edema,0.0003898635477582735,0.0019407707360369984
ASA,0.0003411306042884643,0.002767928230246152
Radio_Tumor Location,0.00019493177387912563,0.022151468190295783
Date of surgery,0.0,0.0
Comorbidities_Prior Stroke,-4.873294346976476e-05,0.0010940518674777482
Symptoms_Acute onset (1<month),-9.746588693961832e-05,0.005642508878180737
Symptoms_Headache,-0.0006335282651072305,0.003303791667968513
Radio_Hyperostosis,-0.0009746588693957614,0.0015020501956551759
Symptoms_Cognitive/psychiatrist disorder,-0.0016081871345029254,0.0018273229297516862
Comorbidities_Obesity,-0.0016081871345029475,0.0020938158926842856
Symptoms_Visual deficits,-0.00258284600389862,0.0006086742688497229
Comorbidities_Hypertension,-0.002875243664717364,0.008242064867803161
Radio_Bone_invasion,-0.0035087719298246165,0.0009194913384071073
Radio_Calcification,-0.004385964912280715,0.002222564181479774
Optic Canal invasion,-0.006968810916179335,0.0038852108046773344
