Feature,Importance,Std
Symptoms_CN deficits,0.02155797101449277,0.011619650515090278
Radio_Calcification,0.019021739130434832,0.01074811374941398
Radio_Bone_invasion,0.015760869565217404,0.014679503318755721
Radio_Ventricle involment,0.014492753623188448,0.006327626520497462
Radio_Hyperostosis,0.01431159420289856,0.0044152382633891145
Radio_Edema,0.012681159420289866,0.003085033761943163
Radio_Cystic_necrosis,0.012500000000000022,0.010174000784129738
Symptoms_Incidental finding,0.011775362318840642,0.012911978029859059
Symptoms_Acute onset (1<month),0.011594202898550754,0.011010558984799067
ICA/Syphon involvment,0.00960144927536235,0.02316858301267854
Optic Canal invasion,0.008333333333333326,0.019790371147862078
Comorbidities_Hyperlipidemia,0.005072463768115987,0.0026624888508512802
Optic nerve/chiasm compression,0.003260869565217406,0.00676867452618455
Sex,0.003079710144927561,0.0036949416765165153
Comorbidities_Prior Stroke,0.0007246376811594457,0.0008874962836171247
Date of surgery,0.0,0.0
Comorbidities_DVT,-0.0005434782608695343,0.0004437481418085215
Symptoms_Cognitive/psychiatrist disorder,-0.0012681159420289134,0.008585504065994756
Symptoms_Seizure,-0.0012681159420289355,0.006132721333264745
Charlson Comorbidity Index,-0.0012681159420289355,0.006445814085020696
Symptoms_Hyperprolatinemia,-0.0014492753623187803,0.0009237354191291057
Symptoms_Nausea/Vomit,-0.0014492753623188027,0.0013556729662224367
Symptoms_Motor deficits,-0.0018115942028985143,0.020639457055979898
Comorbidities_Hypertension,-0.0027173913043477826,0.01667257299252687
Symptoms_Aphasia/dysartria,-0.0028985507246376717,0.00590924146025364
Radio_Pre-Op max_axial_diam_mm,-0.004528985507246319,0.026796901575508084
Comorbidities_DM,-0.00507246376811592,0.0033207070253303533
Radio_Tumor side,-0.005797101449275322,0.005659601214425117
Symptoms_Visual deficits,-0.005978260869565188,0.010726718364556118
Radio_Tumor Location,-0.006159420289855033,0.012318840579710178
Radio_Dural_tail,-0.009601449275362306,0.01132210144347807
Radio_Midline shift entity,-0.009963768115941973,0.012166038688681767
Radio_Vessel_encasement,-0.010326086956521662,0.018533237341824854
Comorbidities_Obesity,-0.011231884057970976,0.003910694410312156
ASA,-0.011956521739130421,0.013366570105577348
Symptoms_Headache,-0.013224637681159357,0.026017671680139548
Comorbidities_Cardiorespiratory,-0.013586956521739113,0.007403194471631394
Pre-Op KPS,-0.01630434782608694,0.03433914921284522
Comorbidities_Other Tumors,-0.023550724637681108,0.004861017342390857
Age,-0.07445652173913042,0.03486271723087601
