Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.05768752590136754,0.0508604899652654
Radio_Vessel_encasement,0.04309987567343552,0.021120071065460287
Radio_Hyperostosis,0.024368006630750026,0.024568472681039392
Symptoms_Motor deficits,0.014421881475341847,0.005574860081491996
Symptoms_Incidental finding,0.006464981351015342,0.0009665896220215843
Comorbidities_Cardiorespiratory,0.006133443845835007,0.012717823641154834
ICA/Syphon involvment,0.005055946953999158,0.0025330637032633346
Pre-Op KPS,0.004890178201408935,0.021548981457307846
Symptoms_Acute onset (1<month),0.004807293825113912,0.007397633729526613
Sex,0.003564028180687906,0.0012732939490872094
Symptoms_Hyperprolatinemia,0.0031496062992125264,0.008940761913078675
Radio_Midline shift entity,0.0024036469125569447,0.0008035938429202242
Symptoms_CN deficits,0.002154993783671744,0.0009594560217811886
Optic Canal invasion,0.002154993783671699,0.008433867117722335
Comorbidities_Hyperlipidemia,0.001989225031081632,0.0032987565258404405
ASA,0.0018234562784914753,0.0017504112790669327
Comorbidities_Hypertension,0.001077496891835872,0.0010014957292660076
Radio_Bone_invasion,0.0004144218814753353,0.0008288437629506706
Symptoms_Nausea/Vomit,0.00033153750518026824,0.00031012493881258865
Radio_Calcification,8.288437629504486e-05,0.0018421973287105786
Comorbidities_Prior Stroke,0.0,0.0
Comorbidities_Other Tumors,0.0,0.0
Radio_Cystic_necrosis,0.0,0.0
Comorbidities_DVT,0.0,0.0
Date of surgery,0.0,0.0
Symptoms_Aphasia/dysartria,-0.0002486531288852678,0.00020302442957180234
Symptoms_Headache,-0.0005801906340655138,0.0022939664323411765
Symptoms_Seizure,-0.0005801906340655138,0.0002030244295717117
Symptoms_Visual deficits,-0.0009946125155408936,0.0017699259431465239
Radio_Ventricle involment,-0.001160381268130961,0.001028568060173249
Comorbidities_DM,-0.001574803149606363,0.00840939506560188
Symptoms_Cognitive/psychiatrist disorder,-0.0016576875259014302,0.001229373972166718
Age,-0.0017405719021964749,0.0139221082021175
Radio_Tumor side,-0.0024036469125570115,0.004735302729245188
Optic nerve/chiasm compression,-0.005055946953999202,0.003182155627095313
Radio_Tumor Location,-0.005553253211769626,0.009459718450111098
Radio_Dural_tail,-0.00629921259842523,0.0024221532028516246
Radio_Edema,-0.007376709490261146,0.00566046285253673
Comorbidities_Obesity,-0.0076253626191463255,0.0018083235996080936
Charlson Comorbidity Index,-0.007791131371736459,0.005238135204086187
