Feature,Importance,Std
Radio_Vessel_encasement,0.030004144218814744,0.021712859229403723
Pre-Op KPS,0.024616659759635295,0.03352527022609013
Radio_Pre-Op max_axial_diam_mm,0.02171570658930786,0.022898599709072542
Radio_Tumor Location,0.01616245337753832,0.004409261857694292
ICA/Syphon involvment,0.014007459593866466,0.00506477119517685
Symptoms_Motor deficits,0.012266887691670081,0.005457796148579985
Radio_Calcification,0.010609200165768672,0.0061278409910565865
Symptoms_Acute onset (1<month),0.009034397016162422,0.004720772769464801
Radio_Hyperostosis,0.008619975134687064,0.015355770771150565
Radio_Midline shift entity,0.008454206382096952,0.0035995111066072895
Optic Canal invasion,0.007376709490261013,0.0033911765512604657
Comorbidities_Hypertension,0.006713634479900454,0.008368449282034694
Symptoms_Incidental finding,0.0046415250725238225,0.0022759270978443377
Symptoms_Hyperprolatinemia,0.0038126813095731072,0.004172304334406387
Radio_Cystic_necrosis,0.0034811438043927945,0.0027061463269481044
Symptoms_CN deficits,0.0033153750518026825,0.0025003071908824065
Radio_Tumor side,0.0020721094073766545,0.005202604169573177
Comorbidities_Obesity,0.0016576875259013634,0.001112010598010694
Symptoms_Aphasia/dysartria,0.0012432656444259838,0.0018347238807442012
Symptoms_Nausea/Vomit,0.0008288437629506484,0.002239412529814539
Radio_Bone_invasion,0.0008288437629506262,0.0018533509966844408
Comorbidities_Hyperlipidemia,0.0007459593866555592,0.0018607496328755695
Radio_Edema,0.000580190634065425,0.0031950825142803762
Comorbidities_Cardiorespiratory,0.000580190634065425,0.010674400768370078
Sex,0.0004973062577703802,0.0024079302190359196
Date of surgery,0.0,0.0
Comorbidities_DVT,-8.288437629508927e-05,0.00016576875259017855
Comorbidities_Prior Stroke,-0.0006630750103605365,0.00020302442957174796
Symptoms_Seizure,-0.0006630750103605365,0.0010678904870886799
Radio_Ventricle involment,-0.0014919187733112515,0.0036185462002392118
Symptoms_Cognitive/psychiatrist disorder,-0.0014919187733112515,0.004295618241143765
Comorbidities_DM,-0.0017405719021964527,0.003837824087124792
Comorbidities_Other Tumors,-0.002154993783671855,0.0023355164199925648
ASA,-0.0022378781599668774,0.0020064183069888487
Optic nerve/chiasm compression,-0.002735184417737302,0.004327485282124044
Symptoms_Headache,-0.0033153750518028157,0.004761344920462545
Symptoms_Visual deficits,-0.005387484459179493,0.0037343987819540288
Radio_Dural_tail,-0.006216328222130229,0.004854223112920449
Charlson Comorbidity Index,-0.007542478242851258,0.006811663758410026
Age,-0.008868628263572376,0.009268978737799772
