Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.024094202898550687,0.028932242726535155
Radio_Ventricle involment,0.022282608695652194,0.014121141499931223
Radio_Bone_invasion,0.01992753623188408,0.014905798862843593
Symptoms_Incidental finding,0.01612318840579714,0.009779253316134643
Radio_Calcification,0.014311594202898537,0.014440576364767874
Comorbidities_Hypertension,0.009782608695652173,0.00823030195043517
Radio_Hyperostosis,0.009057971014492749,0.002864381938558313
Radio_Edema,0.008514492753623171,0.005392346400774363
Symptoms_Acute onset (1<month),0.008333333333333304,0.008388287610717544
Comorbidities_Hyperlipidemia,0.007246376811594191,0.012286829679574745
Sex,0.005978260869565211,0.009104950632702188
Symptoms_Motor deficits,0.0052536231884058315,0.021075311790475188
Optic Canal invasion,0.0048913043478260535,0.01601596819224662
Symptoms_Aphasia/dysartria,0.004347826086956519,0.006100528348000974
Symptoms_Headache,0.0034420289855072728,0.0044152382633891275
Optic nerve/chiasm compression,0.0021739130434782483,0.009765820269524274
Symptoms_Cognitive/psychiatrist disorder,0.0010869565217391352,0.011605519839164486
Comorbidities_DVT,0.0005434782608695566,0.000724637681159418
Date of surgery,0.0,0.0
Symptoms_Nausea/Vomit,-2.2204460492503132e-17,0.00081016955706512
Symptoms_Hyperprolatinemia,-0.0009057971014492683,0.0012809905456277778
Comorbidities_Prior Stroke,-0.0009057971014492683,0.0008101695570651448
Symptoms_Seizure,-0.002536231884057938,0.003944119756716877
Comorbidities_Obesity,-0.003260869565217339,0.0009237354191291057
Comorbidities_Cardiorespiratory,-0.00380434782608694,0.011871126757540503
Radio_Cystic_necrosis,-0.00507246376811592,0.006105905632736489
Comorbidities_DM,-0.006159420289855078,0.010334029490544678
ICA/Syphon involvment,-0.008152173913043482,0.017395078092982342
Symptoms_CN deficits,-0.009420289855072483,0.006078971643319741
Radio_Tumor side,-0.009420289855072506,0.013381293704796658
Radio_Tumor Location,-0.009601449275362306,0.013780029170823636
Radio_Vessel_encasement,-0.009963768115942018,0.023917160383426648
Charlson Comorbidity Index,-0.012681159420289845,0.02204643902402366
Pre-Op KPS,-0.018297101449275342,0.030628266964359493
Symptoms_Visual deficits,-0.019021739130434766,0.01126980508333028
Radio_Midline shift entity,-0.026630434782608646,0.019262622465246158
ASA,-0.031159420289855078,0.004034611857123224
Comorbidities_Other Tumors,-0.03224637681159417,0.005970020671479722
Radio_Dural_tail,-0.035507246376811574,0.01334199466632026
Age,-0.05362318840579714,0.01697880364327533
