Feature,Importance,Std
ICA/Syphon involvment,0.06659597030752924,0.006218065302876233
Radio_Vessel_encasement,0.03534817956875227,0.007766953109634365
Radio_Pre-Op max_axial_diam_mm,0.03301519971721467,0.021158890001465213
Symptoms_Motor deficits,0.02785436550017688,0.012052433408908342
Radio_Cystic_necrosis,0.027147401908801782,0.005182578383347138
Symptoms_Aphasia/dysartria,0.020714033227288885,0.020423295960712958
Radio_Ventricle involment,0.02036055143160138,0.011982146529739874
Charlson Comorbidity Index,0.019865676917638787,0.010240972194970263
Symptoms_Incidental finding,0.01901732060798873,0.009073954119751548
Symptoms_CN deficits,0.012513255567338377,0.01733805687199272
Comorbidities_Hyperlipidemia,0.008766348533050606,0.005148714444972264
Symptoms_Headache,0.008412866737363101,0.010912000781378444
Symptoms_Cognitive/psychiatrist disorder,0.008059384941675619,0.01032844531226563
Optic nerve/chiasm compression,0.00544361965358795,0.0018244592294893896
Symptoms_Hyperprolatinemia,0.005443619653587928,0.0038241437501020646
Date of surgery,0.003958996111700341,0.002411979089322321
Radio_Dural_tail,0.0037469070342878606,0.0032750045448993533
Symptoms_Visual deficits,0.0034641215977378346,0.004915303865894289
Comorbidities_Obesity,0.0034641215977377904,0.008233622261740929
Radio_Tumor Location,0.0028278543655002597,0.002871699683505126
Radio_Midline shift entity,0.0025450689289503005,0.007446310282055622
Radio_Hyperostosis,0.001979498055850226,0.0011530227239519143
Symptoms_Acute onset (1<month),0.0017674089784377235,0.0021790081311307773
ASA,0.0012725344644751724,0.009126678180195314
Sex,0.0009897490279251243,0.0012121900459159706
Pre-Op KPS,0.0009190526687876011,0.00093789318921328
Comorbidities_Hypertension,0.0008483563096501001,0.0009641697912326806
Comorbidities_DVT,0.0007776599505126436,0.0015228461808793237
Symptoms_Seizure,0.0007069635913751204,0.004641257705809826
Radio_Tumor side,0.00021208907741256943,0.0014591564114916917
Radio_Bone_invasion,-0.0038176033934251173,0.001330144059542376
Comorbidities_Cardiorespiratory,-0.003958996111700119,0.003537644681003011
Comorbidities_Prior Stroke,-0.004029692470837687,0.005217180552137177
Optic Canal invasion,-0.009826793920113052,0.00998647070025222
Radio_Calcification,-0.010392364793213083,0.004787558275952508
Radio_Edema,-0.012089077412513128,0.009374667771933968
Symptoms_Nausea/Vomit,-0.012230470130788196,0.015521997044986986
Comorbidities_Other Tumors,-0.014775539059738363,0.007713358329861234
Comorbidities_DM,-0.019441498762813626,0.0073231327890158114
Age,-0.020996818663838755,0.012699002624281861
