Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.07486744432661722,0.041321643939596364
Radio_Tumor Location,0.04340756451042784,0.023340132891104263
Radio_Vessel_encasement,0.0370802403676211,0.02700711958171695
Pre-Op KPS,0.02767762460233305,0.015478951285130344
Radio_Tumor side,0.018946624248851275,0.009634827050336043
Symptoms_CN deficits,0.017992223400494934,0.005616246206990212
Age,0.01749734888653236,0.02044365869331831
Radio_Ventricle involment,0.00936726758571942,0.004543306896588068
Radio_Cystic_necrosis,0.008165429480381814,0.005993992383329039
Symptoms_Motor deficits,0.007776599505125525,0.009202754461808798
ASA,0.0069282431954755365,0.005947954893904585
Comorbidities_Obesity,0.006716154118062967,0.00258549643660796
ICA/Syphon involvment,0.0062566277836691555,0.002956595781735842
Symptoms_Headache,0.005443619653587905,0.004940406042648967
Radio_Dural_tail,0.005090137857900423,0.004287779350189038
Radio_Edema,0.004736656062212829,0.006566964974220392
Optic nerve/chiasm compression,0.0043831742665253245,0.007531236386135423
Comorbidities_Other Tumors,0.0037822552138565115,0.004344519918822637
Symptoms_Seizure,0.0027925061859314535,0.0027594229849804597
Comorbidities_Hyperlipidemia,0.0025450689289502337,0.0034932157733702156
Symptoms_Incidental finding,0.0024390243902439267,0.0013662883061214355
Symptoms_Aphasia/dysartria,0.002085542594556489,0.003906573595728849
Radio_Hyperostosis,0.002014846235418899,0.006360315340511904
Optic Canal invasion,0.0013078826440438896,0.001109955352994574
Symptoms_Visual deficits,0.0012018381053376492,0.0022837222064635157
Symptoms_Hyperprolatinemia,0.0011311417462001039,0.002435179165733416
Symptoms_Acute onset (1<month),0.0009544008483563182,0.0018387849846079748
Symptoms_Nausea/Vomit,0.0004948745139626398,0.0009108588707476134
Sex,0.00021208907741259163,0.0026602881190847536
Date of surgery,0.0,0.0
Comorbidities_DVT,-7.069635913747874e-05,0.00014139271827495747
Comorbidities_Prior Stroke,-0.00031813361611876534,0.0015013616529936334
Symptoms_Cognitive/psychiatrist disorder,-0.0003888299752561997,0.005231530576175314
Comorbidities_Hypertension,-0.000742311770943771,0.00627108984341715
Radio_Bone_invasion,-0.0008130081300812497,0.0016336825745197896
Charlson Comorbidity Index,-0.0020501944149875495,0.007627839027934013
Comorbidities_DM,-0.002085542594556311,0.010012586351932471
Radio_Midline shift entity,-0.0023329798515375534,0.006979274049167584
Comorbidities_Cardiorespiratory,-0.005019441498762789,0.002983939143217392
Radio_Calcification,-0.008978437610463042,0.006078859235616732
