Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.05782962177447848,0.03737130177922055
Radio_Tumor Location,0.03927182750088354,0.015187957340479737
Pre-Op KPS,0.03464121597737706,0.01608128513343255
Radio_Vessel_encasement,0.024566984800282677,0.029979757827084286
Age,0.02198656769176377,0.019369576789334143
Radio_Tumor side,0.01894662424885112,0.00931704524940983
Charlson Comorbidity Index,0.012301166489925653,0.007328761180191415
Symptoms_CN deficits,0.012230470130788196,0.003686054200418126
Optic nerve/chiasm compression,0.011099328384588113,0.010943901433791618
Radio_Ventricle involment,0.010851891127606783,0.0029964750021240962
Symptoms_Headache,0.009685401201838051,0.004166589353520587
Radio_Edema,0.009261223047013023,0.005644208881219467
Radio_Cystic_necrosis,0.007317073170731647,0.004587915925014519
Sex,0.006857546836337813,0.0069054819772661445
Radio_Hyperostosis,0.006786850477200313,0.006254330728863607
Comorbidities_Obesity,0.006610109579356638,0.003011034208419489
Symptoms_Aphasia/dysartria,0.004736656062212674,0.0014244921654019461
Symptoms_Motor deficits,0.004312477907387646,0.014467556918979975
Comorbidities_Other Tumors,0.003923647932131425,0.0021600022788903963
ICA/Syphon involvment,0.00381760339342514,0.0013626253282005055
Comorbidities_Hyperlipidemia,0.0036055143160126147,0.0024632380898104295
Symptoms_Hyperprolatinemia,0.0034641215977376572,0.0027936245752533243
Symptoms_Visual deficits,0.0031106398020501747,0.0027119219199458096
Symptoms_Seizure,0.0019794980558500708,0.001147591592841909
Radio_Bone_invasion,0.0015906680805937378,0.001544840818905084
Symptoms_Nausea/Vomit,0.0004948745139624622,0.0012111588334402267
Optic Canal invasion,0.0004595263343936562,0.002601395474439623
Comorbidities_Prior Stroke,0.00038882997525617745,0.0019945897461527847
Date of surgery,0.0,0.0
Symptoms_Cognitive/psychiatrist disorder,-0.00010604453870632913,0.002041644266976847
Comorbidities_DVT,-0.0001767408978438745,0.0002738058215770397
ASA,-0.00031813361611880974,0.00992736490154881
Comorbidities_DM,-0.00045952633439385606,0.010979920704331363
Radio_Calcification,-0.0005655708731001185,0.003006466055138218
Radio_Dural_tail,-0.0006362672322376417,0.007081644096509739
Comorbidities_Hypertension,-0.0009190526687876677,0.005829128096485881
Symptoms_Incidental finding,-0.0013785790031814126,0.0013889630756018865
Radio_Midline shift entity,-0.0018734535171439637,0.005234157146382969
Comorbidities_Cardiorespiratory,-0.004171085189112888,0.005899652469430896
Symptoms_Acute onset (1<month),-0.004277129727819129,0.001179803412391552
