Feature,Importance,Std
ICA/Syphon involvment,0.05955165692007793,0.02134625309138848
Radio_Vessel_encasement,0.04351851851851858,0.02439403898665359
Radio_Pre-Op max_axial_diam_mm,0.041910331384015585,0.014921355645609011
Pre-Op KPS,0.036306042884990265,0.0137837579178664
Age,0.021101364522417156,0.01660113308724573
Comorbidities_Cardiorespiratory,0.019200779727095506,0.016238676734480186
Radio_Hyperostosis,0.010964912280701821,0.0033231436883493686
Symptoms_CN deficits,0.01047758284600393,0.0025740960324063212
Comorbidities_DM,0.009892787524366531,0.005337536674500218
Comorbidities_Other Tumors,0.008089668615984457,0.005665191578093788
Symptoms_Incidental finding,0.006091617933723215,0.00481938998638441
Radio_Ventricle involment,0.005506822612085793,0.0033994502975819183
Symptoms_Hyperprolatinemia,0.005116959064327497,0.010491739835093088
Symptoms_Motor deficits,0.0038499025341131032,0.008526733362860962
Symptoms_Seizure,0.0034113060428850204,0.0019553998682006763
Radio_Calcification,0.001998050682261243,0.0009169048597576734
Radio_Cystic_necrosis,0.0018518518518518823,0.0019891161434657033
Comorbidities_Obesity,0.001754385964912264,0.0030952133544250395
Symptoms_Acute onset (1<month),0.0010721247563352464,0.0006646287376698559
Sex,0.0008771929824561653,0.002689599361899871
Date of surgery,0.0003898635477582735,0.000764346351918049
Comorbidities_Hyperlipidemia,0.00014619883040936087,0.0002923976608187217
Symptoms_Aphasia/dysartria,-0.0004873294346978252,0.004681914668411469
Symptoms_Visual deficits,-0.0010233918128655262,0.0008066737503531832
Radio_Bone_invasion,-0.0018518518518518602,0.0006822612085770032
Symptoms_Headache,-0.0021929824561403243,0.006324026587722545
Comorbidities_DVT,-0.0028265107212475105,0.0021717621788651846
Radio_Dural_tail,-0.0028265107212475326,0.005231930318285666
Radio_Midline shift entity,-0.0037037037037036314,0.004864514508174538
Symptoms_Cognitive/psychiatrist disorder,-0.0038499025341130364,0.0025200162717052325
Symptoms_Nausea/Vomit,-0.0044346978557504805,0.005018310199554002
Comorbidities_Hypertension,-0.005750487329434684,0.003061266817648985
Comorbidities_Prior Stroke,-0.006237816764132531,0.005471561625072351
Radio_Edema,-0.007309941520467799,0.0035910591475517436
ASA,-0.011013645224171541,0.0028764823710279875
Optic Canal invasion,-0.011793372319688068,0.007024309063051572
Radio_Tumor Location,-0.014083820662767987,0.01765410993585856
Optic nerve/chiasm compression,-0.016423001949317718,0.0020128534530276364
Charlson Comorbidity Index,-0.01803118908382062,0.006951921353648688
Radio_Tumor side,-0.019103313840155935,0.010906384842947724
