Feature,Importance,Std
Pre-Op KPS,0.0737329434697855,0.034679096709727186
Radio_Vessel_encasement,0.0690545808966861,0.028987131477433325
ICA/Syphon involvment,0.0303606237816763,0.02078652847961545
Radio_Pre-Op max_axial_diam_mm,0.013596491228070074,0.019753620764976037
Symptoms_Seizure,0.008040935672514538,0.004027476318010581
Radio_Ventricle involment,0.006042884990253361,0.0034507604224367277
Comorbidities_Cardiorespiratory,0.0059454191033137425,0.0023095508013787265
Symptoms_Motor deficits,0.004629629629629583,0.006441234287241528
Charlson Comorbidity Index,0.004434697855750414,0.004639621924137202
ASA,0.004288499025341075,0.0027420672313128733
Comorbidities_Other Tumors,0.0037037037037036314,0.00549278861739002
Radio_Midline shift entity,0.00311890838206621,0.002888840221301942
Symptoms_Hyperprolatinemia,0.0018031189083819621,0.0030496077674780036
Symptoms_CN deficits,0.0016081871345028586,0.0076707572592401435
Symptoms_Aphasia/dysartria,0.001218323586744585,0.002285777660732636
Comorbidities_Hypertension,0.0010721247563352022,0.005703212022739868
Radio_Hyperostosis,0.0008284600389862673,0.0017812540821147745
Comorbidities_DM,0.0005360623781675677,0.0010609912795846595
Comorbidities_Hyperlipidemia,0.0005360623781675677,0.0024337214403866887
Sex,0.0003411306042883977,0.0025350500591890994
Date of surgery,0.0,0.0
Comorbidities_DVT,-4.873294346978696e-05,0.0004724834169021898
Comorbidities_Prior Stroke,-0.0001461988304094053,0.0017611414229622502
Symptoms_Cognitive/psychiatrist disorder,-0.00024366471734902362,0.0016381809272877116
Symptoms_Nausea/Vomit,-0.0008771929824561875,0.0029304671302871174
Symptoms_Incidental finding,-0.0008771929824562319,0.0077431724652382156
Radio_Dural_tail,-0.0009746588693958058,0.005478935408403579
Age,-0.0011208576998051444,0.008825373258939518
Radio_Edema,-0.002095516569200884,0.0067007354242731776
Symptoms_Visual deficits,-0.0023879142300195833,0.0016697701461025124
Comorbidities_Obesity,-0.002436647173489326,0.0008007639729607648
Radio_Bone_invasion,-0.0025828460038986867,0.0016711918323082315
Radio_Cystic_necrosis,-0.003216374269005917,0.002052576967704954
Radio_Tumor Location,-0.0038011695906433607,0.017676426798255457
Symptoms_Acute onset (1<month),-0.005165692007797351,0.004486078546925936
Optic nerve/chiasm compression,-0.005311890838206712,0.012411506728835574
Radio_Calcification,-0.00604288499025345,0.0023442521385586114
Symptoms_Headache,-0.006822612085770063,0.005831686277447
Radio_Tumor side,-0.007553606237816845,0.013227201772703985
Optic Canal invasion,-0.008869395711501072,0.0033572718615302306
