Feature,Importance,Std
ICA/Syphon involvment,0.05375243664717348,0.018338485710045586
Radio_Vessel_encasement,0.046539961013645215,0.02864278493329112
Radio_Pre-Op max_axial_diam_mm,0.0413255360623781,0.01245372253514384
Pre-Op KPS,0.039571150097465854,0.017480527880882762
Comorbidities_Cardiorespiratory,0.0180311890838206,0.013436512985779163
Comorbidities_DM,0.01700779727095514,0.0068163435418736465
Age,0.015643274853801126,0.014880235415364464
Radio_Calcification,0.010672514619883033,0.0037571803640148926
Symptoms_Incidental finding,0.01067251461988301,0.007829793285970327
Comorbidities_Other Tumors,0.009454191033138359,0.004748399572909107
Symptoms_Motor deficits,0.009307992202728998,0.009085002307503042
Comorbidities_Obesity,0.003118908382066188,0.003377723869622527
Symptoms_Seizure,0.0027290448343080254,0.002818095963898817
Radio_Cystic_necrosis,0.0026315789473683403,0.000991568710983214
Radio_Hyperostosis,0.0022904483430799204,0.00231468656667404
Comorbidities_Hyperlipidemia,0.002290448343079876,0.0028937685846595466
Radio_Ventricle involment,0.0019493177387913895,0.0024415156042641682
Sex,0.00165692007797269,0.0035424526014398256
Symptoms_Aphasia/dysartria,0.000487329434697803,0.0051597118645483175
Date of surgery,9.746588693955171e-05,0.0031867022854330965
Symptoms_Acute onset (1<month),4.873294346976476e-05,0.0006610458073221468
Symptoms_CN deficits,-0.0009259259259259744,0.0003581125354946148
Symptoms_Nausea/Vomit,-0.0022417153996101558,0.0018389826768141209
Symptoms_Headache,-0.0026315789473684514,0.009610897565438143
Radio_Midline shift entity,-0.003167641325536108,0.005626492162717988
Symptoms_Hyperprolatinemia,-0.0036062378167641906,0.007548731370424328
Comorbidities_DVT,-0.0040935672514620155,0.002329006461081608
Radio_Bone_invasion,-0.004922027290448394,0.0012838148023703142
Radio_Dural_tail,-0.005750487329434751,0.0059238095122896035
Comorbidities_Hypertension,-0.005750487329434772,0.002581466401198638
ASA,-0.0062865497076023845,0.000979520041044876
Optic Canal invasion,-0.007358674463937653,0.004422095067066516
Comorbidities_Prior Stroke,-0.009697855750487339,0.005486299281114041
Symptoms_Visual deficits,-0.009941520467836296,0.006186205221499014
Radio_Edema,-0.013937621832358716,0.005102783669671902
Symptoms_Cognitive/psychiatrist disorder,-0.014814814814814836,0.013318812413640874
Optic nerve/chiasm compression,-0.020077972709551715,0.003107465607588644
Radio_Tumor side,-0.020711500974658903,0.011213872806046623
Radio_Tumor Location,-0.028118908382066342,0.023532814959527623
Charlson Comorbidity Index,-0.030068226120857754,0.008328344550519676
