Feature,Importance,Std
ICA/Syphon involvment,0.052054794520547974,0.016552117772047337
Pre-Op KPS,0.03698630136986305,0.01194218888641279
Radio_Pre-Op max_axial_diam_mm,0.03287671232876714,0.007987605335404553
Symptoms_Incidental finding,0.03150684931506851,0.005479452054794543
Radio_Vessel_encasement,0.028767123287671236,0.01585731082574003
Radio_Hyperostosis,0.023287671232876717,0.021485461837476863
Sex,0.021917808219178082,0.01095890410958904
Symptoms_Visual deficits,0.017808219178082195,0.010251116128147778
Comorbidities_Other Tumors,0.016438356164383584,0.010251116128147778
Radio_Dural_tail,0.013698630136986311,0.0061262136369857004
Comorbidities_Hyperlipidemia,0.013698630136986311,0.009686394262829408
Symptoms_CN deficits,0.013698630136986311,0.0143672444954815
Symptoms_Seizure,0.012328767123287699,0.005125558064073877
Symptoms_Cognitive/psychiatrist disorder,0.010958904109589062,0.0069849582377983326
Comorbidities_Cardiorespiratory,0.008219178082191813,0.01806973418941496
Symptoms_Aphasia/dysartria,0.0068493150684931555,0.009686394262829426
Radio_Ventricle involment,0.005479452054794542,0.0027397260273972716
Age,0.005479452054794542,0.014626134591823709
Radio_Edema,0.0041095890410959065,0.006984958237798364
ASA,0.002739726027397271,0.020593556682702633
Charlson Comorbidity Index,0.002739726027397271,0.013421861604291372
Comorbidities_Obesity,0.002739726027397271,0.0033554654010728604
Comorbidities_DM,0.0013698630136986356,0.002739726027397271
Comorbidities_Prior Stroke,0.0013698630136986356,0.0051255580640739125
Radio_Calcification,0.0013698630136986356,0.006710930802145721
Date of surgery,0.0,0.0
Symptoms_Nausea/Vomit,0.0,0.0043318872057101256
Radio_Tumor side,-0.0013698630136986135,0.011784007215126898
Symptoms_Hyperprolatinemia,-0.0013698630136986135,0.010066396203218538
Symptoms_Motor deficits,-0.0013698630136986356,0.007987605335404553
Comorbidities_DVT,-0.002739726027397271,0.00335546540107286
Radio_Cystic_necrosis,-0.002739726027397271,0.00335546540107286
Symptoms_Acute onset (1<month),-0.004109589041095885,0.01112881973237804
Comorbidities_Hypertension,-0.004109589041095885,0.017649450310582352
Symptoms_Headache,-0.004109589041095885,0.009290862990582557
Optic nerve/chiasm compression,-0.009589041095890405,0.010251116128147778
Optic Canal invasion,-0.010958904109588996,0.012703586980131108
Radio_Bone_invasion,-0.010958904109589062,0.00821917808219177
Radio_Midline shift entity,-0.015068493150684903,0.005125558064073877
Radio_Tumor Location,-0.015068493150684903,0.02003936827168191
