Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.03786231884057969,0.040542490695255014
Symptoms_CN deficits,0.022826086956521753,0.01633853099403551
Radio_Edema,0.019927536231884056,0.006606732800293632
Radio_Vessel_encasement,0.018115942028985522,0.00795865312916259
Radio_Ventricle involment,0.014673913043478292,0.0039022933385032747
Radio_Cystic_necrosis,0.012862318840579734,0.005909241460253644
Sex,0.012318840579710177,0.015548080464583537
Symptoms_Motor deficits,0.009782608695652218,0.01098071192803752
Comorbidities_Hypertension,0.00978260869565215,0.03376764943386159
Symptoms_Cognitive/psychiatrist disorder,0.009420289855072483,0.0030096463271442127
Optic Canal invasion,0.005434782608695676,0.009586055474871747
Comorbidities_Cardiorespiratory,0.0048913043478261645,0.013945745836172276
Radio_Tumor side,0.0036231884057971175,0.00836085562261904
Radio_Bone_invasion,0.002355072463768182,0.004881229559894036
ICA/Syphon involvment,0.0019927536231883814,0.03505984771294816
Symptoms_Acute onset (1<month),0.0016304347826087584,0.0019342533065274201
Symptoms_Headache,0.0010869565217391576,0.0032608695652173677
Symptoms_Visual deficits,0.0001811594202899558,0.0037303007757199095
Comorbidities_Hyperlipidemia,0.0001811594202899336,0.0008874962836171157
Comorbidities_Obesity,0.00018115942028988917,0.00036231884057972283
Radio_Calcification,8.881784197001253e-17,0.0022915055508466267
Date of surgery,0.0,0.0
Comorbidities_DVT,0.0,0.0
Comorbidities_Prior Stroke,0.0,0.0
Symptoms_Hyperprolatinemia,0.0,0.0
Symptoms_Incidental finding,0.0,0.0
Radio_Hyperostosis,-0.00018115942028984477,0.003860013723308416
Radio_Tumor Location,-0.0007246376811594236,0.006363829010960252
Optic nerve/chiasm compression,-0.0009057971014492239,0.006945757069811882
Radio_Midline shift entity,-0.0016304347826086695,0.029207708094616147
Comorbidities_DM,-0.0023550724637681373,0.003009646327144245
Symptoms_Seizure,-0.0025362318840579158,0.004263986339108623
Symptoms_Aphasia/dysartria,-0.007427536231884057,0.011010558984799102
Symptoms_Nausea/Vomit,-0.008152173913043482,0.0016203391141302896
Radio_Dural_tail,-0.013949275362318802,0.002662488850851306
ASA,-0.022463768115941973,0.01753974991660815
Comorbidities_Other Tumors,-0.02663043478260867,0.005422691864889756
Charlson Comorbidity Index,-0.03315217391304348,0.015611275741167094
Pre-Op KPS,-0.03641304347826087,0.006516704981378615
Age,-0.05471014492753619,0.036012014028367456
