Feature,Importance,Std
Symptoms_Motor deficits,0.032739328636551955,0.006959326822936856
ICA/Syphon involvment,0.02710319104848733,0.008952280054900707
Comorbidities_Hypertension,0.017239950269374173,0.012398350237092553
Radio_Vessel_encasement,0.014836303356817205,0.010667319050606654
Radio_Ventricle involment,0.01417322834645669,0.003490997047435232
Radio_Pre-Op max_axial_diam_mm,0.013841690841276377,0.010891019660747058
Symptoms_Acute onset (1<month),0.013178615830915796,0.005827897498962964
Symptoms_Hyperprolatinemia,0.01201823456278488,0.009049212806601694
Charlson Comorbidity Index,0.008785743887277198,0.013226227438255226
Radio_Hyperostosis,0.006879403232490655,0.010264285507111623
Comorbidities_DM,0.006547865727310342,0.00946625215765886
Symptoms_Aphasia/dysartria,0.004144218814753331,0.006894864266252936
Symptoms_Seizure,0.00406133443845833,0.0037655422102281376
Radio_Bone_invasion,0.004061334438458286,0.002613159182832093
Comorbidities_Hyperlipidemia,0.004061334438458286,0.007821053368974993
Radio_Cystic_necrosis,0.0030667219229174813,0.0027061463269480728
Symptoms_Incidental finding,0.0015748031496062298,0.0037011377640722852
Pre-Op KPS,0.001160381268130939,0.00861917813268507
Symptoms_Nausea/Vomit,0.0009946125155407604,0.00459690828806037
ASA,0.0008288437629506929,0.006687490345277851
Radio_Tumor Location,0.0006630750103605143,0.0012999906457818774
Comorbidities_DVT,0.0004144218814753131,0.000642019618103167
Sex,0.00016576875259006752,0.004406144669706425
Comorbidities_Prior Stroke,0.0,0.0
Radio_Calcification,0.0,0.004250603035211963
Symptoms_Cognitive/psychiatrist disorder,-2.2204460492503132e-17,0.00037067019933688427
Comorbidities_Obesity,-4.4408920985006264e-17,0.002486531288852049
Symptoms_Visual deficits,-6.661338147750939e-17,0.005971127610220613
Radio_Midline shift entity,-0.0007459593866556257,0.00403843438543877
Date of surgery,-0.000745959386655648,0.00031012493881260047
Optic nerve/chiasm compression,-0.0016576875259014078,0.004127608652462042
Age,-0.0019063406547866091,0.012166229413402428
Optic Canal invasion,-0.0020721094073767434,0.0015506246940629731
Radio_Tumor side,-0.0025694156651471455,0.0018607496328756031
Symptoms_Headache,-0.0030667219229175923,0.004794415205629384
Comorbidities_Other Tumors,-0.0031496062992126374,0.0041325987110875815
Radio_Edema,-0.003398259428097816,0.0021834960418267006
Comorbidities_Cardiorespiratory,-0.00397845006216333,0.01344312019393314
Symptoms_CN deficits,-0.006962287608785744,0.0046842506923977685
Radio_Dural_tail,-0.008951512639867442,0.009390474289776102
