Feature,Importance,Std
Radio_Vessel_encasement,0.04202237878159969,0.030458852395952005
Radio_Hyperostosis,0.016742644011603768,0.016219945140353194
ICA/Syphon involvment,0.016079569001243278,0.00590402115822896
Radio_Pre-Op max_axial_diam_mm,0.014504765851636958,0.02377785045632994
Radio_Tumor Location,0.0140903439701616,0.004622244009481531
Pre-Op KPS,0.01351015333609613,0.031178850610708624
Symptoms_Acute onset (1<month),0.011106506423539119,0.004466537450578524
Symptoms_Motor deficits,0.009448818897637778,0.0057027823992605664
Comorbidities_Hypertension,0.0074595938665561025,0.007324840810703953
Optic Canal invasion,0.005470368835474471,0.0046622001194945185
Symptoms_Hyperprolatinemia,0.004973062577704046,0.003526240760245749
Symptoms_Incidental finding,0.004475756319933688,0.001124298380957395
Radio_Cystic_necrosis,0.004144218814753376,0.0016157139402915785
Radio_Midline shift entity,0.0038955656858682187,0.005840849706572018
Radio_Tumor side,0.003564028180687928,0.0037399135259605586
Sex,0.0029009531703273472,0.0016576875259013413
Radio_Calcification,0.0023207625362618558,0.004398342034453919
Symptoms_Aphasia/dysartria,0.002154993783671744,0.0016452078940140545
Radio_Edema,0.0020721094073766987,0.003564991822230702
Optic nerve/chiasm compression,0.0019063406547865426,0.002576091217226707
Comorbidities_Obesity,0.0017405719021964083,0.0017066937656008017
Comorbidities_Cardiorespiratory,0.0014919187733112294,0.008270182964453487
ASA,0.0009117281392457377,0.0012404997552503546
Symptoms_CN deficits,0.0007459593866555814,0.002639317584432761
Symptoms_Seizure,0.0007459593866555814,0.001468714889902137
Radio_Bone_invasion,0.0004973062577703802,0.0011242983809573754
Comorbidities_Prior Stroke,0.00016576875259011192,0.00020302442957172078
Comorbidities_DVT,0.0,0.0
Date of surgery,0.0,0.0
Radio_Dural_tail,-0.0006630750103606032,0.0055452063601086786
Symptoms_Visual deficits,-0.0007459593866556702,0.006199175118546269
Comorbidities_Other Tumors,-0.0011603812681310055,0.0018421973287105708
Comorbidities_Hyperlipidemia,-0.001989225031081676,0.002407930219035887
Symptoms_Nausea/Vomit,-0.001989225031081676,0.0017660402613064831
Symptoms_Cognitive/psychiatrist disorder,-0.0029009531703273915,0.002208522601653426
Radio_Ventricle involment,-0.0031496062992126374,0.0042311641999503435
Symptoms_Headache,-0.004807293825114023,0.004663673401288089
Comorbidities_DM,-0.0068794032324906995,0.005539008519387859
Age,-0.008951512639867421,0.008307479163415357
Charlson Comorbidity Index,-0.009365934521342734,0.008917680998798383
