Feature,Importance,Std
Comorbidities_Other Tumors,0.03662071403322731,0.0195288375294713
Optic nerve/chiasm compression,0.03379285966772712,0.010537315452180541
Radio_Hyperostosis,0.023895369388476473,0.020431859341786412
Radio_Vessel_encasement,0.018593142453163635,0.010123659385558243
Radio_Ventricle involment,0.016967126193001048,0.0053421379957052095
Radio_Edema,0.016825733474726046,0.005386858452187715
Comorbidities_Hypertension,0.015411806291975938,0.017248462872829207
Radio_Cystic_necrosis,0.013715093672675894,0.008345165449006743
Symptoms_Headache,0.012796041003888337,0.011057597622349766
Symptoms_Motor deficits,0.012583951926475812,0.010463538819549551
Comorbidities_Obesity,0.012301166489925807,0.006438416441160811
Radio_Tumor Location,0.012089077412513282,0.015166634774677003
Symptoms_Aphasia/dysartria,0.011099328384588224,0.010251215852588265
Symptoms_Hyperprolatinemia,0.009473312124425547,0.010233649018912824
Comorbidities_Cardiorespiratory,0.009049133969600543,0.009684627123177284
Symptoms_Acute onset (1<month),0.008342170378225511,0.011656541239124022
Optic Canal invasion,0.00784729586426296,0.014369632814326988
Comorbidities_Hyperlipidemia,0.005231530576175314,0.006128195951295698
Pre-Op KPS,0.004665959703075306,0.006356385095224884
Comorbidities_DM,0.0042417815482502785,0.006894254427223708
Sex,0.00219158713326264,0.00932924112942402
Radio_Tumor side,0.0018381053375750912,0.00618098069830875
Symptoms_CN deficits,0.0016260162601626105,0.006964936987911115
Charlson Comorbidity Index,0.0010604453870625362,0.008066823231160631
Symptoms_Nausea/Vomit,0.0008483563096500557,0.004286322061852006
Date of surgery,7.069635913747874e-05,0.001648908277085982
Symptoms_Seizure,-0.00035348179568752693,0.004705425604042042
Comorbidities_DVT,-0.0007776599505125547,0.00103419857464318
Radio_Bone_invasion,-0.0021208907741251393,0.009209540654355352
Radio_Pre-Op max_axial_diam_mm,-0.002545068928950145,0.0068228396558188764
Radio_Midline shift entity,-0.005655708731000342,0.010166519907951936
Symptoms_Visual deficits,-0.005726405090137843,0.004869332020564879
Symptoms_Cognitive/psychiatrist disorder,-0.0067868504772004455,0.00654237415412327
Radio_Calcification,-0.008130081300813007,0.00785016140968053
Symptoms_Incidental finding,-0.008200777659950486,0.006111862777391564
Comorbidities_Prior Stroke,-0.011311417462000728,0.007799061361906908
Radio_Dural_tail,-0.013008130081300816,0.010458283280439656
Age,-0.013361611876988366,0.010391162404622512
ASA,-0.024602332979851527,0.009656201387890488
ICA/Syphon involvment,-0.04892188052315309,0.007520444621829415
