Feature,Importance,Std
Pre-Op KPS,0.026027397260273987,0.013281314677852932
ICA/Syphon involvment,0.021917808219178103,0.007987605335404508
Radio_Calcification,0.019178082191780833,0.007987605335404503
Radio_Vessel_encasement,0.015068493150684948,0.007987605335404505
Radio_Pre-Op max_axial_diam_mm,0.015068493150684925,0.010066396203218529
Symptoms_Hyperprolatinemia,0.013698630136986311,0.0061262136369857004
Comorbidities_DM,0.012328767123287699,0.005125558064073877
Radio_Ventricle involment,0.012328767123287699,0.005125558064073877
Age,0.010958904109589062,0.011942188886412809
Comorbidities_Hypertension,0.010958904109589041,0.008219178082191763
Radio_Tumor Location,0.00958904109589045,0.0033554654010728604
Symptoms_Seizure,0.008219178082191813,0.002739726027397271
Symptoms_Nausea/Vomit,0.006849315068493178,0.0
Radio_Dural_tail,0.006849315068493178,0.015006097465894961
ASA,0.006849315068493178,0.0043318872057101256
Optic Canal invasion,0.005479452054794565,0.010958904109589046
Symptoms_Motor deficits,0.005479452054794542,0.0027397260273972716
Radio_Midline shift entity,0.0041095890410959065,0.0033554654010728604
Sex,0.0041095890410959065,0.0033554654010728604
Radio_Hyperostosis,0.004109589041095885,0.012703586980131111
Comorbidities_Obesity,0.002739726027397271,0.00335546540107286
Radio_Tumor side,0.002739726027397271,0.005479452054794542
Symptoms_Acute onset (1<month),0.002739726027397271,0.006984958237798364
Radio_Edema,0.002739726027397271,0.0033554654010728604
Symptoms_Headache,0.0013698630136986356,0.0027397260273972716
Comorbidities_Other Tumors,0.0013698630136986356,0.0051255580640739125
Radio_Cystic_necrosis,0.0013698630136986356,0.0027397260273972716
Charlson Comorbidity Index,0.0013698630136986356,0.00671093080214572
Symptoms_Aphasia/dysartria,2.2204460492503132e-17,0.007503048732947471
Comorbidities_DVT,0.0,0.0
Comorbidities_Prior Stroke,0.0,0.0
Symptoms_CN deficits,0.0,0.0
Date of surgery,0.0,0.0
Radio_Bone_invasion,-0.0013698630136986356,0.002739726027397271
Comorbidities_Hyperlipidemia,-0.0013698630136986356,0.0051255580640739125
Symptoms_Incidental finding,-0.0013698630136986356,0.0027397260273972716
Optic nerve/chiasm compression,-0.0041095890410959065,0.0033554654010728604
Symptoms_Cognitive/psychiatrist disorder,-0.0041095890410959065,0.00335546540107286
Comorbidities_Cardiorespiratory,-0.006849315068493111,0.010610913277280594
Symptoms_Visual deficits,-0.0068493150684931555,0.004331887205710091
