Feature,Importance,Std
Radio_Vessel_encasement,0.07177786987152923,0.030537465898833202
Radio_Pre-Op max_axial_diam_mm,0.05288023207625361,0.05378014565949605
Symptoms_Acute onset (1<month),0.019892250310816408,0.008767741096797597
Radio_Hyperostosis,0.018648984666390443,0.02535909767014834
Symptoms_Motor deficits,0.015084956485702471,0.008307479163415395
Radio_Midline shift entity,0.011769581433899745,0.009575208379048208
Radio_Calcification,0.010692084542063829,0.006449022350245167
ICA/Syphon involvment,0.009697472026523001,0.003216511879309119
Radio_Tumor side,0.0094488188976378,0.008285950725126388
Sex,0.0073767094902610795,0.0015147672509321821
Optic Canal invasion,0.006796518856195632,0.01126922754442572
Comorbidities_Hypertension,0.005304600082884403,0.002546587898174384
Optic nerve/chiasm compression,0.0028180687940323468,0.003926305605413007
Radio_Tumor Location,0.0027351844177372574,0.005285138356213786
Comorbidities_DM,0.0018234562784915198,0.006807628412227495
Symptoms_Incidental finding,0.0016576875259013634,0.00026210341153484507
Comorbidities_Hyperlipidemia,0.0010774968918358496,0.004311581203030275
Comorbidities_Cardiorespiratory,0.0009117281392457377,0.010122079480108234
Symptoms_Seizure,0.0006630750103605587,0.0024948059582747496
Radio_Cystic_necrosis,0.0004973062577704023,0.00040604885914349593
Symptoms_Headache,0.0004144218814753131,0.0063394357815077925
Radio_Edema,-0.001160381268130961,0.010230094591373624
Symptoms_CN deficits,-0.0029838375466224587,0.005078317010208197
ASA,-0.00323249067550766,0.0019857685123433042
Radio_Ventricle involment,-0.004973062577704091,0.004035030731749068
Radio_Dural_tail,-0.007293825113966035,0.002338456026467587
Pre-Op KPS,-0.00770824699544137,0.015727515154550408
Symptoms_Visual deficits,-0.010111893907998337,0.0047367532738431944
Age,-0.011438043928719433,0.025752377122857776
Charlson Comorbidity Index,-0.018400331537505154,0.01299620677099128
