Feature,Importance,Std
ICA/Syphon involvment,0.031081641110650614,0.008999731987163145
Symptoms_Motor deficits,0.027517612929962687,0.0057757982230201045
Comorbidities_Hypertension,0.023373394115209268,0.013059484951347688
Radio_Vessel_encasement,0.01997513468711143,0.0098990459191603
Symptoms_Acute onset (1<month),0.015002072109407405,0.00995441014239695
Radio_Pre-Op max_axial_diam_mm,0.014836303356817248,0.013053697221788674
Radio_Ventricle involment,0.012184003315375036,0.004729496102009845
Radio_Hyperostosis,0.011355159552424388,0.012604421981073905
Comorbidities_DM,0.009448818897637778,0.010336981072599272
Radio_Calcification,0.008619975134687086,0.003917547384366841
Comorbidities_Hyperlipidemia,0.00770824699544137,0.0077867213802291215
ASA,0.0055532532117695595,0.00470765746246596
Charlson Comorbidity Index,0.005304600082884381,0.013805661210879065
Radio_Cystic_necrosis,0.00356402818068795,0.0017504112790669862
Pre-Op KPS,0.003398259428097816,0.009389742688022826
Symptoms_Visual deficits,0.0024036469125570115,0.005023914616060238
Optic Canal invasion,0.002154993783671766,0.001514767250932217
Age,0.001989225031081654,0.014767381650274414
Sex,0.0019063406547865647,0.00381268130957311
Symptoms_Seizure,0.0015748031496062964,0.002613159182832062
Radio_Tumor Location,0.0014919187733112515,0.0014733849013370292
Optic nerve/chiasm compression,0.001243265644426006,0.0043464933616666175
Symptoms_Incidental finding,0.001160381268130939,0.00088496297157324
Radio_Edema,0.001077496891835894,0.0014498844330323919
Radio_Midline shift entity,0.0008288437629506929,0.004761344920462522
Symptoms_Headache,0.0004144218814753131,0.005182759453249434
Radio_Tumor side,-0.0024036469125569672,0.0031167170620742695
Symptoms_CN deficits,-0.004227103191048509,0.005172144471387549
Radio_Dural_tail,-0.006464981351015342,0.008430608281774683
Comorbidities_Cardiorespiratory,-0.008702859510982175,0.01720125403110875
