Feature,Importance,Std
Radio_Vessel_encasement,0.029092416079569028,0.01604064313099656
Pre-Op KPS,0.02693742229589726,0.027941993918006787
Radio_Hyperostosis,0.023207625362619177,0.018714257001769263
ICA/Syphon involvment,0.020638209697472033,0.006637998524716438
Radio_Pre-Op max_axial_diam_mm,0.01873186904268549,0.026790251161920284
Radio_Tumor Location,0.016162453377538365,0.008569619246125343
Symptoms_Motor deficits,0.015665147119767943,0.005178781384770255
Symptoms_Acute onset (1<month),0.014587650227932047,0.006806619201872435
Comorbidities_Hypertension,0.01292996270203064,0.009628153968316122
Radio_Midline shift entity,0.011935350186489857,0.002923363794206148
Radio_Edema,0.01036054703688356,0.0026600591025082608
Sex,0.0063820969747202085,0.005330438521612442
Charlson Comorbidity Index,0.005801906340654783,0.01369976196362662
Optic Canal invasion,0.0046415250725238225,0.004669561880150291
Symptoms_Incidental finding,0.004309987567343532,0.002781261787909244
ASA,0.004061334438458353,0.0036638269548778034
Comorbidities_Cardiorespiratory,0.0038955656858681966,0.00995164924645085
Symptoms_Seizure,0.003729796933278129,0.003011338934867006
Radio_Calcification,0.0020721094073766766,0.007487171017413177
Radio_Tumor side,0.0018234562784915863,0.004559394128296771
Radio_Ventricle involment,0.0013261500207210064,0.001602907551248542
Radio_Cystic_necrosis,0.0007459593866555369,0.000959456021781231
Optic nerve/chiasm compression,-0.0006630750103605587,0.002866409691801213
Comorbidities_Hyperlipidemia,-0.0009117281392457599,0.0019508665223274117
Symptoms_CN deficits,-0.0013261500207211619,0.0019508665223273711
Symptoms_Headache,-0.0017405719021964527,0.004072314462175925
Symptoms_Visual deficits,-0.0036469125569830174,0.00576269980796315
Comorbidities_DM,-0.004227103191048509,0.0037655422102281276
Age,-0.009200165768752554,0.014064479808904608
Radio_Dural_tail,-0.010857853294653963,0.005550159649492982
