Feature,Importance,Std
Radio_Vessel_encasement,0.0539577289680895,0.017422288010982192
Radio_Calcification,0.038126813095731425,0.009722588179769676
Symptoms_Incidental finding,0.035142975549109015,0.004072314462175977
Radio_Hyperostosis,0.032076253626191445,0.013366246092242498
Radio_Pre-Op max_axial_diam_mm,0.02436800663075007,0.019936061714038854
Comorbidities_Hypertension,0.023622047244094467,0.01934067449577795
Radio_Cystic_necrosis,0.01997513468711145,0.004404585248433109
Age,0.0184003315375052,0.03336505394558202
Radio_Midline shift entity,0.01782014090343973,0.016222909659914266
ICA/Syphon involvment,0.017157065893079127,0.011868973229069334
Symptoms_Acute onset (1<month),0.015250725238292562,0.011176797567202721
Sex,0.015084956485702405,0.008479359314287038
Radio_Edema,0.013924575217571466,0.007715818730368525
Radio_Tumor side,0.010277662660588471,0.006165840004441716
Symptoms_Seizure,0.009034397016162465,0.005833788430921747
Comorbidities_DM,0.008537090758392018,0.00969640934808831
Comorbidities_Hyperlipidemia,0.00646498135101532,0.009119541595291695
Radio_Tumor Location,0.005138831330294224,0.006822748653877062
Optic Canal invasion,0.0046415250725238225,0.020248909278325646
Symptoms_Headache,0.004061334438458353,0.009103708391377375
Pre-Op KPS,0.003895565685868174,0.011746795357975676
ASA,0.0004973062577704023,0.00691674962122672
Symptoms_Motor deficits,-0.0051388313302942025,0.013450783439768481
Optic nerve/chiasm compression,-0.007459593866556191,0.0071588306279947505
Charlson Comorbidity Index,-0.008537090758392063,0.003693705753030597
Radio_Ventricle involment,-0.008951512639867421,0.006037488222618934
Comorbidities_Cardiorespiratory,-0.010360547036883582,0.011875916856747324
Symptoms_CN deficits,-0.016328222130128477,0.020189790233177046
Symptoms_Visual deficits,-0.02246166597596353,0.007589240376135669
Radio_Dural_tail,-0.025694156651471213,0.016347354267149637
