Feature,Importance,Std
Radio_Cystic_necrosis,0.017808219178082153,0.005479452054794542
ICA/Syphon involvment,0.016438356164383515,0.008219178082191813
Symptoms_Motor deficits,0.016438356164383515,0.006984958237798363
Comorbidities_Hypertension,0.013698630136986268,0.012995661617130297
Charlson Comorbidity Index,0.01232876712328761,0.0051255580640739125
Radio_Dural_tail,0.009589041095890361,0.015975210670809026
Radio_Tumor Location,0.008219178082191747,0.007987605335404508
Symptoms_Headache,0.008219178082191725,0.006710930802145694
Radio_Midline shift entity,0.006849315068493111,0.00750304873294747
Symptoms_Acute onset (1<month),0.00684931506849309,0.004331887205710091
Age,0.0054794520547944755,0.007987605335404503
Radio_Ventricle involment,0.0054794520547944755,0.007987605335404503
Symptoms_Seizure,0.002739726027397227,0.006984958237798316
Comorbidities_Cardiorespiratory,0.002739726027397227,0.009290862990582545
Optic Canal invasion,0.002739726027397205,0.008219178082191761
Symptoms_Visual deficits,-2.2204460492503132e-17,0.004331887205710091
Pre-Op KPS,-4.4408920985006264e-17,0.0061262136369857004
Symptoms_Incidental finding,-0.0013698630136986356,0.002739726027397271
Optic nerve/chiasm compression,-0.001369863013698658,0.013281314677852972
Comorbidities_DM,-0.001369863013698658,0.005125558064073877
ASA,-0.00136986301369868,0.007987605335404508
Radio_Edema,-0.002739726027397271,0.0033554654010728604
Comorbidities_Hyperlipidemia,-0.0041095890410959065,0.0033554654010728604
Radio_Tumor side,-0.004109589041095929,0.006984958237798328
Sex,-0.005479452054794542,0.0027397260273972716
Radio_Hyperostosis,-0.005479452054794565,0.013969916475596684
Radio_Pre-Op max_axial_diam_mm,-0.006849315068493178,0.011461096253891426
Symptoms_CN deficits,-0.006849315068493178,0.0043318872057101256
Radio_Vessel_encasement,-0.008219178082191813,0.013969916475596662
Radio_Calcification,-0.00958904109589045,0.006984958237798363
