Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.08745139625309291,0.04596057249852685
Symptoms_Motor deficits,0.02933898904206429,0.017559188187327907
Age,0.023047013078826395,0.031174930130261302
Radio_Vessel_encasement,0.021986567691763815,0.019074134485386078
Symptoms_Aphasia/dysartria,0.01470484270060084,0.011677960060683905
Comorbidities_Hyperlipidemia,0.012725344644750747,0.006490988437547116
Comorbidities_Hypertension,0.007069635913750383,0.0019101104398877849
Radio_Ventricle involment,0.006362672322375329,0.0031537232977300093
Radio_Edema,0.004736656062212741,0.007266953000641283
Charlson Comorbidity Index,0.004029692470837731,0.007759227358608065
Optic Canal invasion,0.0040296924708376645,0.003933666381970612
Comorbidities_Cardiorespiratory,0.003605514316012637,0.005697091443734395
Symptoms_Headache,0.0025450689289501006,0.015810399470528445
Symptoms_Visual deficits,0.002403676210675121,0.0028925093736979746
Radio_Cystic_necrosis,0.0019794980558500708,0.0015744826759505248
Comorbidities_Other Tumors,0.001131141746200015,0.000412227069271475
Symptoms_Incidental finding,0.0011311417461999929,0.002453071979200779
Radio_Tumor side,0.00014139271827493527,0.006986431546740418
Symptoms_Hyperprolatinemia,0.0,0.0
Radio_Tumor Location,-0.0016260162601626992,0.0077398792426531995
Radio_Hyperostosis,-0.0026157652880877125,0.0026128976475894633
Radio_Calcification,-0.00459526334393785,0.004055038642545099
Comorbidities_Obesity,-0.004665959703075373,0.007158857286787839
ICA/Syphon involvment,-0.005585012371862952,0.007432874128413281
Symptoms_CN deficits,-0.007140332272887994,0.007317670820857785
Symptoms_Nausea/Vomit,-0.012654648285613357,0.0028136795676397754
Optic nerve/chiasm compression,-0.01272534464475088,0.014410616550469805
Radio_Dural_tail,-0.01329091551785091,0.007765666018216187
Comorbidities_DM,-0.013573700954400914,0.006622856658115434
ASA,-0.01392718275008844,0.01331007996867665
