Feature,Importance,Std
ICA/Syphon involvment,0.05372923294450336,0.0033904782773507788
Radio_Cystic_necrosis,0.03294450335807701,0.006103679800395762
Radio_Pre-Op max_axial_diam_mm,0.03153057617532695,0.023592255289591954
Radio_Vessel_encasement,0.028419936373276757,0.004692662219943785
Symptoms_Motor deficits,0.025309296571226558,0.013300689080374893
Radio_Ventricle involment,0.01717921527041357,0.01127291077387169
Symptoms_Aphasia/dysartria,0.016967126193001093,0.016962707095076624
Charlson Comorbidity Index,0.015482502651113483,0.009847878486739231
Symptoms_Incidental finding,0.010392364793213104,0.011555340986643738
Symptoms_CN deficits,0.009826793920113075,0.016477560635889753
Comorbidities_Hyperlipidemia,0.0071403322728879285,0.006595633108343904
Symptoms_Headache,0.005797101449275299,0.010280427203175568
Optic nerve/chiasm compression,0.0039589961117002526,0.0012326331406265264
Radio_Hyperostosis,0.002120890774125117,0.002179008131130781
Symptoms_Hyperprolatinemia,0.0020501944149876163,0.0032963006650759247
Radio_Tumor side,0.0017674089784375457,0.002312538315135507
Symptoms_Visual deficits,0.0012725344644750392,0.00453008677090159
Comorbidities_Obesity,0.0009190526687875566,0.007720482639002302
Radio_Tumor Location,0.0005655708731000519,0.001062799319785986
Radio_Dural_tail,7.069635913747874e-05,0.004739293251917856
Comorbidities_Hypertension,-0.0008483563096501001,0.0005290431087696987
ASA,-0.005231530576175358,0.008711443931141375
Comorbidities_Cardiorespiratory,-0.006079886885825369,0.005688311824642384
Optic Canal invasion,-0.006150583244962893,0.007807387878276976
Radio_Calcification,-0.008130081300813007,0.0026357514149603547
Symptoms_Nausea/Vomit,-0.00911983032873811,0.012671028181398135
Radio_Edema,-0.011523506539413276,0.005288541310502668
Comorbidities_DM,-0.01802757158006365,0.004454431672541078
Comorbidities_Other Tumors,-0.021420996818663874,0.008786280491003504
Age,-0.025592082007776608,0.011647962682443103
