Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.08335100742311766,0.04124431287533814
Radio_Vessel_encasement,0.03860021208907736,0.03601519838324893
Radio_Tumor Location,0.029798515376458147,0.015519259862708176
Age,0.0185931424531637,0.021398177505444812
Radio_Tumor side,0.018345705196182373,0.008124239067698562
Radio_Ventricle involment,0.01650759985860726,0.004422903448460103
Symptoms_CN deficits,0.011170024743725703,0.006327620349668552
ICA/Syphon involvment,0.009791445740544403,0.0027621385076828098
Symptoms_Aphasia/dysartria,0.007564510427712889,0.0015941989796789953
Symptoms_Headache,0.007352421350300476,0.008210066532702408
Radio_Hyperostosis,0.007352421350300431,0.006844780455261719
Symptoms_Motor deficits,0.006256627783669089,0.007822736624177016
Charlson Comorbidity Index,0.005797101449275366,0.010502871537605526
Optic Canal invasion,0.004347826086956497,0.003281103255107034
Comorbidities_Hypertension,0.003499469777306463,0.0067665686107608956
Symptoms_Visual deficits,0.0031813361611876755,0.005907483542184041
Symptoms_Hyperprolatinemia,0.002969247083775173,0.0026532335107522604
Comorbidities_Obesity,0.0020148462354188544,0.0030807718019796233
Optic nerve/chiasm compression,0.0011311417462000373,0.010696898808588217
Radio_Edema,0.0007423117709437488,0.005344943986266735
Comorbidities_Hyperlipidemia,-0.0003888299752562663,0.004894669968308959
Radio_Cystic_necrosis,-0.0011311417462001039,0.00415186903076024
Symptoms_Nausea/Vomit,-0.0013785790031813684,0.0012517448716596697
Radio_Dural_tail,-0.0014492753623188692,0.0066492171402064365
Comorbidities_Other Tumors,-0.0018734535171438748,0.00384077124923173
Symptoms_Incidental finding,-0.0021562389536939454,0.0038905485318863724
Comorbidities_DM,-0.004383174266525303,0.007941470267014852
Comorbidities_Cardiorespiratory,-0.006928243195475447,0.005452564116930312
ASA,-0.007034287734181732,0.007481298364893322
Radio_Calcification,-0.008130081300813007,0.0025733863164653942
