Feature,Importance,Std
Optic nerve/chiasm compression,0.03987274655355255,0.00852001125213592
Radio_Vessel_encasement,0.029197596323789377,0.008879642823956214
Comorbidities_Other Tumors,0.022834924001413914,0.016712774807448382
Symptoms_CN deficits,0.017674089784376144,0.011523723397370086
Radio_Ventricle involment,0.01618946624248858,0.004889817310934059
Symptoms_Headache,0.015411806291976004,0.017959658326477584
Symptoms_Hyperprolatinemia,0.01449275362318847,0.005323393594066188
Radio_Pre-Op max_axial_diam_mm,0.013715093672675894,0.007021397818556443
Comorbidities_Hyperlipidemia,0.01293743372216336,0.0065086740397222705
Symptoms_Aphasia/dysartria,0.011170024743725726,0.0032288970651591898
Radio_Cystic_necrosis,0.010745846588900699,0.009134888825854004
Optic Canal invasion,0.008837044892188107,0.011823424470622406
Radio_Tumor Location,0.007635206786850502,0.008046972513330312
Age,0.006857546836337924,0.010971838066339284
Symptoms_Visual deficits,0.005867797808412911,0.007420087246886914
Comorbidities_Hypertension,0.005726405090137865,0.017839312559217908
Radio_Edema,0.005443619653587884,0.013191266216687855
Comorbidities_Obesity,0.004171085189112777,0.0037568979160371592
Radio_Tumor side,0.003817603393425295,0.009507017588696652
Comorbidities_DM,0.0025450689289502116,0.005788473521515368
Symptoms_Motor deficits,-7.069635913747874e-05,0.009272818625419342
Charlson Comorbidity Index,-0.0020501944149875937,0.010211647980356479
Symptoms_Nausea/Vomit,-0.0028985507246376495,0.0037368894411884098
Radio_Hyperostosis,-0.0029692470837751504,0.008482384742012392
Radio_Calcification,-0.0067161541180629225,0.01273908374222252
Symptoms_Incidental finding,-0.007211028632025407,0.0113061139917731
Comorbidities_Cardiorespiratory,-0.012230470130788262,0.012276764231239317
ICA/Syphon involvment,-0.01717921527041357,0.004401380676217318
Radio_Dural_tail,-0.024178154825026454,0.011561827043052829
ASA,-0.030399434429126893,0.006374444159123253
