Feature,Importance,Std
Pre-Op KPS,0.08114035087719293,0.02468457081573155
Radio_Vessel_encasement,0.06876218323586739,0.02113987679852223
ICA/Syphon involvment,0.04171539961013637,0.020516164053543947
Radio_Pre-Op max_axial_diam_mm,0.027729044834307937,0.02351100642709152
Symptoms_CN deficits,0.023781676413255282,0.007039506999314588
Age,0.021150097465886874,0.015197647947270227
Symptoms_Seizure,0.010331384015594436,0.002012853453027632
ASA,0.006335282651072083,0.0010787496891412906
Charlson Comorbidity Index,0.004434697855750435,0.007988933387318287
Symptoms_Motor deficits,0.002777777777777701,0.006226765917849906
Comorbidities_Cardiorespiratory,0.0027290448343079143,0.008604366665693348
Radio_Hyperostosis,0.0025828460038985757,0.0016782821986084156
Comorbidities_DM,0.0023391812865496187,0.00230955080137869
Radio_Ventricle involment,0.002290448343079854,0.002767928230246184
Radio_Midline shift entity,0.002241715399610067,0.003963279846266545
Sex,0.0018518518518518157,0.0029667117456578275
Radio_Calcification,0.0018031189083820287,0.003278535709854665
Radio_Edema,0.0009746588693956282,0.009668301573206431
Radio_Bone_invasion,4.873294346974255e-05,0.00018234197791291783
Symptoms_Visual deficits,4.873294346969814e-05,0.0037855178335162464
Comorbidities_Other Tumors,-9.746588693964054e-05,0.0003646839558259425
Symptoms_Hyperprolatinemia,-0.0004385964912281493,0.0062946666247437055
Optic Canal invasion,-0.0010233918128655483,0.009981810724402
Symptoms_Cognitive/psychiatrist disorder,-0.0030701754385965784,0.0023804434194580554
Symptoms_Incidental finding,-0.003313840155945513,0.006178906768263334
Comorbidities_Hypertension,-0.0037524366471735513,0.007925061486291374
Radio_Tumor side,-0.003801169590643383,0.01029476942664994
Radio_Dural_tail,-0.003947368421052722,0.0057401532677296505
Radio_Tumor Location,-0.006335282651072171,0.01361647626092865
Optic nerve/chiasm compression,-0.011208576998050734,0.0077222880972188795
