Feature,Importance,Std
ICA/Syphon involvment,0.07422027290448341,0.02338907147678925
Radio_Vessel_encasement,0.04527290448343071,0.02545073015428283
Radio_Pre-Op max_axial_diam_mm,0.038742690058479454,0.015563291055673226
Pre-Op KPS,0.02962962962962956,0.011586353391844953
Age,0.022124756335282568,0.01427084985794579
Comorbidities_Cardiorespiratory,0.017982456140350832,0.01120794133293692
Radio_Hyperostosis,0.017105263157894644,0.007334915105075241
Comorbidities_DM,0.016423001949317607,0.008618431730609485
Symptoms_CN deficits,0.015789473684210464,0.005046625132943337
Symptoms_Visual deficits,0.00467836257309937,0.0027799143658775558
Comorbidities_Other Tumors,0.004044834307992051,0.0020069454465861634
Symptoms_Hyperprolatinemia,0.003898635477582779,0.010092544353687321
Symptoms_Seizure,0.002192982456140258,0.0013610370413029709
Sex,0.0013645224171539238,0.0020767325294992803
Radio_Ventricle involment,0.0011208576998050113,0.0010962204560625414
Symptoms_Incidental finding,0.0006822612085769286,0.0035824514521421522
Radio_Calcification,0.00043859649122801603,0.00018234197791294749
Radio_Midline shift entity,4.873294346974255e-05,0.004590736394183441
Comorbidities_Hypertension,-0.00019493177387921445,0.003324572690216469
Symptoms_Motor deficits,-0.000584795321637488,0.00901967664815537
Symptoms_Cognitive/psychiatrist disorder,-0.0009259259259259744,0.0006610458073221632
Radio_Dural_tail,-0.0030214424951267916,0.00602123077366366
Radio_Bone_invasion,-0.004093567251462061,0.0019699203636849892
Radio_Edema,-0.007748538011695949,0.0028764823710280122
Optic Canal invasion,-0.009064327485380174,0.00519045885212254
Charlson Comorbidity Index,-0.009161793372319793,0.003168016172152963
ASA,-0.011062378167641395,0.0034203444727809794
Radio_Tumor Location,-0.014717348927875306,0.0173824336418187
Radio_Tumor side,-0.014717348927875329,0.010973680704558647
Optic nerve/chiasm compression,-0.01593567251461996,0.004182524569420182
