Feature,Importance,Std
Pre-Op KPS,0.09824561403508769,0.02769103449347615
Radio_Vessel_encasement,0.06705653021442495,0.023270375980228464
ICA/Syphon involvment,0.035477582846003886,0.0178222710638348
Radio_Pre-Op max_axial_diam_mm,0.030896686159844044,0.01971089430957512
Symptoms_CN deficits,0.019883040935672523,0.004640133769461046
Symptoms_Seizure,0.010233918128654974,0.0033338462722196974
Radio_Edema,0.007992202729044839,0.003890708315051102
Charlson Comorbidity Index,0.007115009746588674,0.0035724937247780036
Radio_Tumor Location,0.006042884990253383,0.01563059307539023
Optic nerve/chiasm compression,0.004775828460038966,0.01413809799154804
Comorbidities_Cardiorespiratory,0.004337231968810906,0.002801190616608155
Symptoms_Incidental finding,0.0035575048732942927,0.005699046357132037
Comorbidities_DM,0.0034600389863547855,0.0012462682117489732
Radio_Ventricle involment,0.0026315789473684292,0.0030096291728351925
Age,0.0019980506822611767,0.00845821972695813
Symptoms_Motor deficits,0.0019005847953216027,0.006277665723541776
Symptoms_Hyperprolatinemia,0.0018031189083820287,0.003645536882897706
Radio_Midline shift entity,0.0012183235867446296,0.004375121966367118
Sex,0.0012183235867446074,0.0028248297750856776
Radio_Calcification,0.0010233918128654596,0.0038477428739087612
Radio_Hyperostosis,0.0009259259259259079,0.003807412277704602
Radio_Tumor side,0.0003898635477582735,0.009678858232843377
Symptoms_Cognitive/psychiatrist disorder,0.00038986354775825125,0.0018659054307092293
Comorbidities_Hypertension,0.0003411306042885309,0.007169873124484003
Radio_Dural_tail,-0.00019493177387919225,0.002701932997198691
ASA,-0.0009746588693957392,0.0057990155090228285
Comorbidities_Other Tumors,-0.0017543859649123306,0.0017998231298849456
Symptoms_Visual deficits,-0.0023391812865497298,0.0031303093280217035
Optic Canal invasion,-0.005896686159844044,0.0040286554942378615
Radio_Bone_invasion,-0.008966861598440557,0.0007454706891216993
