Feature,Importance,Std
Radio_Vessel_encasement,0.03698630136986296,0.023962816006213555
ICA/Syphon involvment,0.02876712328767119,0.024274034447492248
Pre-Op KPS,0.019178082191780788,0.013281314677852952
Symptoms_Incidental finding,0.01643835616438354,0.01112881973237804
Symptoms_CN deficits,0.010958904109589019,0.009290862990582544
Symptoms_Hyperprolatinemia,0.010958904109588996,0.009290862990582571
Radio_Hyperostosis,0.008219178082191725,0.013281314677852972
Radio_Edema,0.006849315068493111,0.013698630136986311
Radio_Calcification,0.0054794520547944755,0.010958904109589034
Radio_Pre-Op max_axial_diam_mm,0.004109589041095841,0.02234178963054805
Radio_Ventricle involment,0.002739726027397227,0.009290862990582545
Symptoms_Visual deficits,0.0013698630136986135,0.0027397260273972273
Symptoms_Seizure,0.001369863013698569,0.006710930802145666
Comorbidities_Hypertension,-4.4408920985006264e-17,0.009686394262829408
Radio_Midline shift entity,-0.001369863013698658,0.009086643261247671
Comorbidities_DM,-0.001369863013698658,0.006710930802145694
ASA,-0.0027397260273972933,0.005479452054794504
Symptoms_Cognitive/psychiatrist disorder,-0.0027397260273972933,0.006984958237798333
Radio_Dural_tail,-0.002739726027397316,0.012703586980131106
Charlson Comorbidity Index,-0.0041095890410959065,0.008219178082191813
Comorbidities_Other Tumors,-0.0041095890410959065,0.005479452054794543
Symptoms_Motor deficits,-0.010958904109589062,0.009290862990582557
Comorbidities_Cardiorespiratory,-0.010958904109589085,0.005479452054794543
Sex,-0.012328767123287721,0.011784007215126869
Optic Canal invasion,-0.01780821917808222,0.010251116128147783
Radio_Tumor side,-0.019178082191780854,0.01178400721512689
Age,-0.020547945205479513,0.016777327005364218
Optic nerve/chiasm compression,-0.024657534246575397,0.014103602932858911
Radio_Tumor Location,-0.026027397260274032,0.019079983941348102
Radio_Bone_invasion,-0.03561643835616444,0.011784007215126891
