Feature,Importance,Std
Symptoms_CN deficits,0.059963768115941965,0.025137460780030062
Symptoms_Motor deficits,0.015760869565217318,0.012241337613424755
Radio_Pre-Op max_axial_diam_mm,0.015217391304347728,0.031712731394397016
Radio_Edema,0.014855072463768071,0.018408863718058336
Radio_Tumor side,0.011050724637681086,0.0059919693509207
Radio_Ventricle involment,0.009239130434782505,0.006127367581626004
Optic Canal invasion,0.005615942028985454,0.00394411975671686
Radio_Bone_invasion,0.0025362318840579158,0.0014492753623188386
Symptoms_Headache,0.0005434782608695343,0.0009237354191291622
Radio_Tumor Location,0.0005434782608695121,0.005482878967544037
Symptoms_Incidental finding,0.0,0.0
Symptoms_Hyperprolatinemia,0.0,0.0
Radio_Calcification,0.0,0.0
Radio_Hyperostosis,-0.0001811594202899114,0.002887206059874859
Comorbidities_Hyperlipidemia,-0.0005434782608695343,0.0014717460877963818
Comorbidities_Obesity,-0.0010869565217391797,0.0008874962836171111
Radio_Cystic_necrosis,-0.0014492753623188913,0.0037390883044475056
Radio_Vessel_encasement,-0.0027173913043478937,0.01403254835582399
Comorbidities_DM,-0.004891304347826075,0.006744387851082022
ASA,-0.0052536231884058315,0.0084855350932104
Symptoms_Visual deficits,-0.006521739130434789,0.007187258849593267
Radio_Midline shift entity,-0.006521739130434856,0.02472942212063394
Radio_Dural_tail,-0.00851449275362326,0.0026001268286969473
Comorbidities_Hypertension,-0.008876811594202949,0.01579726764970403
Symptoms_Aphasia/dysartria,-0.013405797101449336,0.005624700976905803
ICA/Syphon involvment,-0.014855072463768205,0.02122427770957627
Comorbidities_Other Tumors,-0.01612318840579714,0.0019342533065274013
Pre-Op KPS,-0.0204710144927537,0.016609463902104517
Age,-0.020471014492753726,0.03174479633101906
Charlson Comorbidity Index,-0.03985507246376818,0.019452506805139307
