Feature,Importance,Std
Radio_Calcification,0.04764492753623184,0.02365223385542276
Pre-Op KPS,0.03786231884057967,0.05087129420241859
ICA/Syphon involvment,0.024999999999999956,0.03290226149027028
Symptoms_CN deficits,0.024637681159420242,0.008770810461529133
Optic Canal invasion,0.023007246376811574,0.019849980834510547
Radio_Pre-Op max_axial_diam_mm,0.018115942028985477,0.016354592468539635
Symptoms_Motor deficits,0.01576086956521734,0.006646353741972513
Radio_Bone_invasion,0.015217391304347783,0.012090270806857694
Comorbidities_Hyperlipidemia,0.01521739130434776,0.007478176608895027
Charlson Comorbidity Index,0.010326086956521685,0.018796981327764764
Radio_Tumor side,0.008333333333333259,0.01571394814652279
Radio_Midline shift entity,0.004528985507246341,0.007178120563825718
Symptoms_Hyperprolatinemia,0.0036231884057970954,0.0005728763877116654
Symptoms_Headache,0.0030797101449275164,0.0014717460877963708
Symptoms_Aphasia/dysartria,0.00018115942028980038,0.047307936466961076
Radio_Ventricle involment,-0.00018115942028986697,0.00036231884057973395
Symptoms_Incidental finding,-0.0038043478260870065,0.0014492753623188083
Radio_Edema,-0.005253623188405787,0.0027712062573873823
Radio_Cystic_necrosis,-0.005615942028985544,0.006591813550239259
Comorbidities_DM,-0.005797101449275388,0.005078929626404426
Age,-0.00797101449275366,0.007141450487111264
Symptoms_Visual deficits,-0.008876811594202949,0.009575779193045302
Radio_Vessel_encasement,-0.016847826086956563,0.020975413438454445
Radio_Hyperostosis,-0.017210144927536253,0.005728763877116654
Comorbidities_Other Tumors,-0.023731884057971043,0.016637103585389636
Radio_Dural_tail,-0.025181159420289888,0.004806702594717932
Comorbidities_Obesity,-0.02916666666666672,0.006491475676510469
ASA,-0.0297101449275363,0.01332968995590373
Radio_Tumor Location,-0.04583333333333339,0.04290687345822454
Comorbidities_Hypertension,-0.05199275362318845,0.03455636717129408
