Feature,Importance,Std
Radio_Calcification,0.014311594202898492,0.006233569034088835
Symptoms_Incidental finding,0.012318840579710078,0.004744855381778544
Radio_Midline shift entity,0.011775362318840498,0.02145037697915315
Optic Canal invasion,0.008152173913043393,0.00902166637535415
Radio_Pre-Op max_axial_diam_mm,0.006340579710144833,0.012003093314114087
Comorbidities_Hyperlipidemia,0.006159420289855033,0.006127367581626007
Radio_Cystic_necrosis,0.0052536231884057205,0.002650133847523152
Radio_Ventricle involment,0.005072463768115876,0.009032573088636182
Radio_Edema,0.004710144927536164,0.005294072172537122
Comorbidities_Obesity,0.003442028985507184,0.0026501338475231765
Radio_Bone_invasion,0.0019927536231883593,0.005881406913314441
Radio_Hyperostosis,0.0019927536231882925,0.003902293338503274
Radio_Tumor side,0.001268115942028869,0.01570559188528497
Symptoms_Headache,-0.001268115942029091,0.004914731871829947
Radio_Vessel_encasement,-0.0016304347826087695,0.015503690503865712
Symptoms_Aphasia/dysartria,-0.0018115942028986032,0.005494837278298238
ICA/Syphon involvment,-0.005072463768116031,0.020476624856441757
Symptoms_Hyperprolatinemia,-0.006159420289855144,0.001756405745440677
Symptoms_Visual deficits,-0.008514492753623282,0.0032709184937079225
Comorbidities_DM,-0.01159420289855082,0.018540319205798156
Symptoms_Motor deficits,-0.012681159420289934,0.01605076553140338
Symptoms_CN deficits,-0.013043478260869646,0.009749002932662091
Pre-Op KPS,-0.013405797101449379,0.021090878165143764
Comorbidities_Hypertension,-0.02282608695652184,0.027242666645325507
Charlson Comorbidity Index,-0.025905797101449336,0.017028985507246405
Radio_Dural_tail,-0.02826086956521747,0.011158596807561249
Radio_Tumor Location,-0.032608695652174016,0.0053434352187509415
Comorbidities_Other Tumors,-0.03677536231884067,0.0034181091058175933
ASA,-0.04637681159420297,0.015269063409931562
Age,-0.06612318840579716,0.03230027249799377
