Feature,Importance,Std
Comorbidities_Obesity,0.0440217391304348,0.022602133477244307
Symptoms_Headache,0.018115942028985497,0.01064070663448439
Comorbidities_Other Tumors,0.014311594202898547,0.007434161061117126
Symptoms_Motor deficits,0.00036231884057974506,0.03937707429782269
Symptoms_CN deficits,1.1102230246251566e-17,0.005026969900547684
Radio_Ventricle involment,-0.005797101449275366,0.012817589095151256
Radio_Midline shift entity,-0.009782608695652183,0.026645835042268223
Radio_Vessel_encasement,-0.013768115942029003,0.021491646848671518
Radio_Tumor side,-0.01413043478260868,0.010998629881638076
Charlson Comorbidity Index,-0.014130434782608692,0.007677398587107624
Radio_Tumor Location,-0.015217391304347827,0.01955682858270739
Radio_Edema,-0.01557971014492755,0.009592900213676618
Radio_Calcification,-0.015760869565217373,0.016990397228541107
Comorbidities_Hyperlipidemia,-0.01594202898550724,0.007349805353297407
Optic Canal invasion,-0.016304347826086963,0.009971999235161493
ICA/Syphon involvment,-0.016666666666666684,0.02667783910568616
Pre-Op KPS,-0.017934782608695642,0.01631843192012831
Symptoms_Incidental finding,-0.019202898550724636,0.011926290283067255
Symptoms_Visual deficits,-0.01992753623188407,0.048993492617291357
Radio_Dural_tail,-0.02065217391304348,0.0028298006072125454
Radio_Cystic_necrosis,-0.021376811594202894,0.011551665628210035
Radio_Hyperostosis,-0.02155797101449275,0.012776556291670604
Symptoms_Hyperprolatinemia,-0.02192028985507246,0.0041071681336067615
Radio_Pre-Op max_axial_diam_mm,-0.022282608695652174,0.0373276336904044
Radio_Bone_invasion,-0.022282608695652174,0.018247709198397744
Symptoms_Aphasia/dysartria,-0.023731884057971032,0.027164249489458774
Comorbidities_Hypertension,-0.03206521739130436,0.023450175543890464
Age,-0.05815217391304346,0.03222092302677459
Comorbidities_DM,-0.0617753623188406,0.03825167324701209
ASA,-0.07264492753623188,0.03455066840526501
