Feature,Importance,Std
Radio_Calcification,0.01506849315068486,0.010066396203218538
Optic Canal invasion,0.013698630136986245,0.006126213636985749
Radio_Midline shift entity,0.012328767123287631,0.011784007215126898
Symptoms_Hyperprolatinemia,0.010958904109588974,0.0033554654010728604
Radio_Cystic_necrosis,0.008219178082191747,0.007987605335404508
Radio_Vessel_encasement,0.006849315068493111,0.008663774411420199
Radio_Edema,0.005479452054794454,0.0027397260273972265
Symptoms_Headache,0.004109589041095841,0.006984958237798315
ASA,0.002739726027397227,0.009290862990582544
Symptoms_Aphasia/dysartria,0.002739726027397227,0.003355465401072806
Comorbidities_DM,0.0013698630136986135,0.002739726027397227
Radio_Ventricle involment,0.0013698630136985911,0.005125558064073866
Radio_Tumor Location,-4.4408920985006264e-17,0.008663774411420199
Radio_Hyperostosis,-0.002739726027397271,0.00335546540107286
Comorbidities_Obesity,-0.002739726027397271,0.00335546540107286
Comorbidities_Hypertension,-0.004109589041095929,0.008219178082191785
Comorbidities_Hyperlipidemia,-0.005479452054794542,0.006710930802145721
Pre-Op KPS,-0.006849315068493178,0.012252427273971437
Symptoms_Visual deficits,-0.006849315068493178,0.0043318872057101256
Symptoms_Incidental finding,-0.006849315068493178,0.0043318872057101256
Comorbidities_Other Tumors,-0.006849315068493201,0.009686394262829426
Radio_Tumor side,-0.008219178082191813,0.0051255580640739125
Radio_Dural_tail,-0.00958904109589045,0.006984958237798364
Charlson Comorbidity Index,-0.00958904109589045,0.0033554654010728604
Symptoms_Motor deficits,-0.010958904109589085,0.005479452054794543
Radio_Bone_invasion,-0.010958904109589085,0.005479452054794543
Symptoms_CN deficits,-0.012328767123287721,0.00671093080214572
ICA/Syphon involvment,-0.013698630136986356,0.006126213636985749
Age,-0.016438356164383626,0.005479452054794542
Radio_Pre-Op max_axial_diam_mm,-0.01780821917808222,0.011942188886412804
