Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.0987628137150937,0.054312843120836535
Charlson Comorbidity Index,0.023188405797101463,0.014187968458023231
Symptoms_Motor deficits,0.021067515022976345,0.015181785932702682
Symptoms_Aphasia/dysartria,0.018875927889713706,0.010001973380743663
ICA/Syphon involvment,0.013785790031813438,0.006279651605854344
Radio_Hyperostosis,0.011947684694238259,0.004910217137981024
Age,0.011806291975963302,0.027341856883029113
Radio_Tumor Location,0.0055143160127253624,0.011938268746729824
Optic nerve/chiasm compression,0.0046659597030753504,0.011437526076986915
Radio_Vessel_encasement,0.0034641215977377683,0.013877751120972443
Radio_Cystic_necrosis,0.0024743725698127108,0.002578237190358519
Radio_Edema,-7.069635913745654e-05,0.00847590086405142
Comorbidities_Other Tumors,-0.00028278543654998157,0.002977651422927223
Radio_Ventricle involment,-0.00042417815482493905,0.004925461561923081
Symptoms_Headache,-0.006645457758925355,0.011478964154002028
