Feature,Importance,Std
ICA/Syphon involvment,0.06638388123011667,0.008169636513212989
Symptoms_Motor deficits,0.030823612583951963,0.01551362296674854
Symptoms_Aphasia/dysartria,0.02608695652173918,0.019563101814508477
Charlson Comorbidity Index,0.019582891481088736,0.015897409025545345
Symptoms_Headache,0.01633085896076354,0.012143321628043203
Radio_Vessel_encasement,0.015835984446801055,0.004859056989024943
Radio_Cystic_necrosis,0.009473312124425615,0.005941859707161752
Radio_Ventricle involment,0.00438317426652528,0.011896329922715065
Radio_Tumor Location,0.002969247083775217,0.0018917056430200843
Radio_Hyperostosis,0.0002827854365500482,0.0010580862175394998
Radio_Pre-Op max_axial_diam_mm,7.069635913750094e-05,0.029077095383438157
Radio_Edema,-0.005585012371862796,0.013913718813268819
Optic nerve/chiasm compression,-0.005797101449275299,0.003778123496892856
Age,-0.019794980558501218,0.012055750440320744
Comorbidities_Other Tumors,-0.03089430894308942,0.015130672549357037
