Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.07826086956521745,0.04741090973930967
Radio_Vessel_encasement,0.05715800636267234,0.03183330744279731
Radio_Tumor Location,0.052103216684340814,0.022341727344359658
ICA/Syphon involvment,0.041781548250265164,0.008736508352597674
Radio_Ventricle involment,0.017850830682219865,0.004056579018153312
Symptoms_Motor deficits,0.015022976316719717,0.011380247459883515
Symptoms_Aphasia/dysartria,0.012442559208200855,0.0021108516969718734
Symptoms_Headache,0.009968186638388166,0.009279553579769154
Radio_Edema,0.009402615765288136,0.004436724614700023
Age,0.007953340402969244,0.02785494864931915
Radio_Hyperostosis,0.004277129727819062,0.008956003847797085
Radio_Cystic_necrosis,0.0033580770590314834,0.006876106845267076
Optic nerve/chiasm compression,0.0018381053375751799,0.01949464120919748
Comorbidities_Other Tumors,0.0009190526687876454,0.002738970749778784
Charlson Comorbidity Index,-0.002863202545068888,0.01493493006355905
