Feature,Importance,Std
Optic nerve/chiasm compression,0.04206433368681504,0.028031797306004306
Radio_Ventricle involment,0.03273241428066449,0.032194876670866124
ICA/Syphon involvment,0.030540827147401806,0.007530406799493827
Radio_Pre-Op max_axial_diam_mm,0.027571580063626634,0.027897754343530236
Radio_Tumor Location,0.027006009190526648,0.014813544441651989
Symptoms_Aphasia/dysartria,0.024602332979851437,0.008000254392892685
Age,0.0159066808059384,0.011049911041323144
Radio_Edema,0.011594202898550598,0.010937163175352465
Radio_Hyperostosis,0.007705903145987891,0.01488053403116054
Radio_Vessel_encasement,0.006857546836337836,0.021756337900620752
Comorbidities_Other Tumors,0.005372923294450205,0.010969104560155738
Radio_Cystic_necrosis,0.0036762106751501377,0.009718113978049926
Charlson Comorbidity Index,0.0009190526687874679,0.015534871427862196
Symptoms_Headache,-0.011876988335100846,0.022960105219692672
Symptoms_Motor deficits,-0.016330858960763604,0.009409257813957787
