Feature,Importance,Std
Radio_Cystic_necrosis,0.019178082191780833,0.007987605335404503
ICA/Syphon involvment,0.01506849315068497,0.010066396203218538
Symptoms_Motor deficits,0.009589041095890427,0.01410360293285888
Radio_Edema,0.005479452054794521,0.010066396203218548
Radio_Ventricle involment,0.0027397260273972933,0.009290862990582557
Symptoms_Aphasia/dysartria,0.002739726027397271,0.01655211777204736
Symptoms_Headache,-0.004109589041095885,0.016552117772047348
Comorbidities_Other Tumors,-0.00821917808219177,0.007987605335404503
Charlson Comorbidity Index,-0.008219178082191792,0.013969916475596684
Radio_Vessel_encasement,-0.010958904109589019,0.006984958237798315
Optic nerve/chiasm compression,-0.012328767123287676,0.007987605335404508
Age,-0.01506849315068488,0.002739726027397271
Radio_Hyperostosis,-0.020547945205479444,0.008663774411420216
Radio_Tumor Location,-0.023287671232876717,0.012703586980131111
Radio_Pre-Op max_axial_diam_mm,-0.03013698630136985,0.009290862990582571
