Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.04665959703075295,0.03223164786502316
Charlson Comorbidity Index,0.02757158006362672,0.008632485746406316
Radio_Vessel_encasement,0.020289855072463815,0.03360167532235883
Symptoms_Aphasia/dysartria,0.020219158713326336,0.009567283717268225
Radio_Tumor side,0.01661364439731359,0.012770431888648341
Radio_Hyperostosis,0.015482502651113528,0.00724560083439745
Symptoms_Motor deficits,0.01519971721456348,0.011304787735459473
Radio_Edema,0.012725344644750836,0.0029826826595587093
Comorbidities_Obesity,0.010816542948038178,0.008769198729352123
Comorbidities_Hypertension,0.010038882997525667,0.004818775026638943
Age,0.006716154118062989,0.00821721637104009
Symptoms_Seizure,0.006574761399787965,0.003158474076166667
Symptoms_Headache,0.005302226935312904,0.01226739716200846
Optic Canal invasion,0.0050194414987629,0.005436729283769641
Comorbidities_Hyperlipidemia,0.004807352421350353,0.0027252506564010197
Optic nerve/chiasm compression,0.004665959703075329,0.004528983351869073
Radio_Calcification,0.00431247790738778,0.002041644266976821
Comorbidities_Cardiorespiratory,0.0021208907741251393,0.002607152904147893
Sex,0.0019794980558501597,0.008151875747133011
ASA,0.0009897490279250798,0.0059376524845800045
Radio_Cystic_necrosis,0.0006362672322375751,0.0006854266323671096
Radio_Bone_invasion,0.0002827854365500482,0.0021835906979824162
Comorbidities_DM,0.00028278543655000374,0.005835769270693243
Symptoms_Cognitive/psychiatrist disorder,0.00021208907741254723,0.004192002002226535
Comorbidities_Other Tumors,7.069635913747874e-05,0.001081446344346324
Comorbidities_DVT,0.0,0.0
Comorbidities_Prior Stroke,0.0,0.0
Symptoms_Incidental finding,0.0,0.0
Date of surgery,0.0,0.0
Symptoms_Hyperprolatinemia,0.0,0.0
Pre-Op KPS,-0.00042417815482498344,0.020106124084381966
Radio_Ventricle involment,-0.0007069635913750316,0.0040734847058007725
Symptoms_Visual deficits,-0.0010604453870625141,0.0008364906020642383
Symptoms_Acute onset (1<month),-0.0029692470837751504,0.0031821215793359533
Radio_Midline shift entity,-0.00509013785790029,0.004113774910138197
Symptoms_CN deficits,-0.005514316012725296,0.0038566791649306017
Radio_Dural_tail,-0.00572640509013782,0.006115950160164628
Symptoms_Nausea/Vomit,-0.005867797808412822,0.002885589484900446
ICA/Syphon involvment,-0.011028632025450657,0.005371992998660412
Radio_Tumor Location,-0.016825733474726025,0.012484664770853665
