Feature,Importance,Std
Pre-Op KPS,0.0627192982456141,0.0325076860936695
Radio_Vessel_encasement,0.06198830409356737,0.02922254203549315
ICA/Syphon involvment,0.026754385964912374,0.01826243892792778
Symptoms_CN deficits,0.013206627680311934,0.005319262728023351
Comorbidities_Other Tumors,0.00872319688109171,0.005374781941115873
Radio_Midline shift entity,0.008430799220272988,0.0033572718615301456
Symptoms_Seizure,0.00799220272904495,0.002414125940838382
Radio_Pre-Op max_axial_diam_mm,0.007115009746588785,0.02040124226386851
Symptoms_Motor deficits,0.006042884990253494,0.00732519526100884
Symptoms_Incidental finding,0.004629629629629739,0.004641157290763844
Radio_Dural_tail,0.004385964912280782,0.004251233623306917
Comorbidities_Cardiorespiratory,0.0040448343079922955,0.004081947678629994
Radio_Ventricle involment,0.00384990253411317,0.0014157737861924331
Symptoms_Hyperprolatinemia,0.003654970760234044,0.0031807346729202054
Comorbidities_Hyperlipidemia,0.0031676413255361303,0.0017229697397332798
Symptoms_Acute onset (1<month),0.0018031189083821842,0.005486732142314819
Radio_Edema,0.00024366471734904582,0.005778502478667319
Date of surgery,0.0,0.0
Sex,-9.74658869394629e-05,0.002954679608425752
Radio_Calcification,-0.00019493177387903683,0.0029619047561447735
ASA,-0.0004873294346977586,0.0035611746406325837
Symptoms_Aphasia/dysartria,-0.0005847953216373103,0.004441386896711295
Comorbidities_DVT,-0.0007309941520466489,0.0007062074437714429
Comorbidities_Prior Stroke,-0.0010233918128654152,0.0030253700185514107
Comorbidities_Obesity,-0.0015107212475632403,0.0015364408158318166
Comorbidities_Hypertension,-0.0022417153996100226,0.007870634398917121
Radio_Hyperostosis,-0.0025341130604287663,0.002520958510015105
Radio_Cystic_necrosis,-0.0031189083820661657,0.002176131926098091
Symptoms_Nausea/Vomit,-0.0038986354775827348,0.0021073828762611705
Age,-0.003947368421052544,0.009027309179621294
Optic nerve/chiasm compression,-0.004044834307992118,0.007438122428202292
Charlson Comorbidity Index,-0.004239766081871243,0.0032200640422381382
Comorbidities_DM,-0.0049220272904482165,0.001398898644679079
Symptoms_Headache,-0.004922027290448239,0.00426350594114998
Symptoms_Cognitive/psychiatrist disorder,-0.005214424951266938,0.0029060529270712584
Radio_Tumor Location,-0.00735867446393752,0.016041505249776697
Radio_Bone_invasion,-0.0077485380116958155,0.004422095067066537
Optic Canal invasion,-0.008235867446393662,0.006460378372833597
Symptoms_Visual deficits,-0.008333333333333259,0.005955396989539018
Radio_Tumor side,-0.010526315789473606,0.011071498417339086
