Feature,Importance,Std
Pre-Op KPS,0.07608695652173916,0.05320044882022508
Radio_Calcification,0.03677536231884062,0.029759811790661332
ICA/Syphon involvment,0.029528985507246384,0.0323895616040596
Symptoms_CN deficits,0.027536231884058016,0.005859044068404419
Symptoms_Motor deficits,0.024818840579710177,0.006420306212561357
Radio_Midline shift entity,0.02336956521739132,0.015354797174215295
Radio_Pre-Op max_axial_diam_mm,0.015036231884058004,0.01149470440522846
Comorbidities_Hyperlipidemia,0.012862318840579756,0.009489710763557105
Symptoms_Hyperprolatinemia,0.012862318840579711,0.001558392258522209
Optic Canal invasion,0.012500000000000022,0.019286460246356205
Radio_Bone_invasion,0.01086956521739133,0.00789655605713892
Symptoms_Headache,0.008695652173913082,0.00445961363227943
Sex,0.002355072463768182,0.0030636837908130142
Comorbidities_Cardiorespiratory,0.0023550724637681373,0.01717291931326679
Symptoms_Cognitive/psychiatrist disorder,0.0012681159420290244,0.002262680434202323
Optic nerve/chiasm compression,0.0007246376811594457,0.006337991190049252
Symptoms_Aphasia/dysartria,0.00018115942028990029,0.048483080716183735
Comorbidities_Prior Stroke,0.0,0.0
Radio_Cystic_necrosis,0.0,0.0046186770956456805
Radio_Ventricle involment,-0.00018115942028982258,0.0010563318650081695
Charlson Comorbidity Index,-0.0007246376811593791,0.0021739130434782483
Comorbidities_DVT,-0.0010869565217390686,0.00036231884057968955
Symptoms_Acute onset (1<month),-0.0014492753623187582,0.0004437481418085215
Radio_Tumor side,-0.0014492753623187803,0.011146826132547246
Symptoms_Seizure,-0.0018115942028984922,0.0059535060598387415
Date of surgery,-0.0019927536231884035,0.005072463768115951
Radio_Vessel_encasement,-0.003985507246376752,0.03032242891725751
Symptoms_Nausea/Vomit,-0.0039855072463767845,0.0009237354191291057
Radio_Edema,-0.008333333333333326,0.006440720592257662
Symptoms_Incidental finding,-0.010869565217391242,0.003842971636883375
Symptoms_Visual deficits,-0.010869565217391264,0.013938684102660382
Radio_Hyperostosis,-0.014673913043478249,0.008089533899190638
Comorbidities_DM,-0.015217391304347783,0.007322964830220202
Age,-0.015760869565217384,0.010998629881638081
Comorbidities_Other Tumors,-0.016123188405797052,0.007367644712921267
Radio_Dural_tail,-0.024275362318840553,0.005136756115491949
Comorbidities_Obesity,-0.03749999999999998,0.004271676131359253
ASA,-0.048913043478260844,0.021165437401354913
Comorbidities_Hypertension,-0.0501811594202898,0.03750743817570746
Radio_Tumor Location,-0.06358695652173911,0.039271919470471366
