Feature,Importance,Std
Symptoms_Incidental finding,0.023188405797101352,0.0164306700628597
Radio_Tumor side,0.02119565217391297,0.011234805604140348
Radio_Pre-Op max_axial_diam_mm,0.01739130434782603,0.03733115035475726
ICA/Syphon involvment,0.01684782608695643,0.01807604301922668
Optic Canal invasion,0.016123188405797028,0.01069301055316936
Symptoms_Motor deficits,0.014855072463768026,0.024550944936814253
Radio_Ventricle involment,0.014130434782608624,0.012268118082128295
Radio_Calcification,0.013949275362318759,0.016046675643317757
Comorbidities_Hypertension,0.012137681159420178,0.01831054893984532
Comorbidities_Hyperlipidemia,0.01159420289855062,0.0037740338144926586
Radio_Bone_invasion,0.010688405797101397,0.00919105137243901
Pre-Op KPS,0.010326086956521641,0.028161987918772204
Symptoms_Aphasia/dysartria,0.01014492753623184,0.014246089312563397
Symptoms_Acute onset (1<month),0.009963768115941952,0.012326830316089846
Radio_Hyperostosis,0.007971014492753569,0.0032101531062806825
Sex,0.0038043478260868734,0.010444590801014229
Comorbidities_DM,0.0036231884057970286,0.0017186291631350198
Symptoms_Visual deficits,0.0030797101449274943,0.017230156176702396
Symptoms_Hyperprolatinemia,0.0028985507246376495,0.0017564057454407
Symptoms_Seizure,0.0016304347826085809,0.005200253657393994
Comorbidities_Prior Stroke,0.0010869565217390686,0.000887496283617043
Radio_Cystic_necrosis,0.00018115942028977815,0.005881406913314469
Date of surgery,0.0,0.0
Comorbidities_DVT,-0.0005434782608695343,0.0004437481418085215
Radio_Edema,-0.0005434782608696453,0.012374660404302948
Optic nerve/chiasm compression,-0.0007246376811594901,0.006285996946702003
Symptoms_Cognitive/psychiatrist disorder,-0.0028985507246377827,0.013872601245707748
Comorbidities_Obesity,-0.007427536231884147,0.0035499851344683612
Symptoms_Headache,-0.007608695652173991,0.01084840936346368
Radio_Midline shift entity,-0.007789855072463858,0.024342865264117136
Symptoms_Nausea/Vomit,-0.008876811594202994,0.0006778364831112243
Radio_Vessel_encasement,-0.014311594202898625,0.03651789288465506
Charlson Comorbidity Index,-0.015579710144927605,0.01734217093300627
Comorbidities_Cardiorespiratory,-0.016123188405797184,0.006440720592257675
Radio_Tumor Location,-0.01811594202898561,0.02355072463768118
ASA,-0.026992753623188447,0.017614435159321387
Symptoms_CN deficits,-0.028442028985507316,0.01724919292560528
Comorbidities_Other Tumors,-0.03460144927536239,0.009420289855072466
Radio_Dural_tail,-0.036594202898550796,0.014679503318755734
Age,-0.06956521739130447,0.030772581884547956
