Feature,Importance,Std
Radio_Bone_invasion,0.012328767123287654,0.005125558064073866
Radio_Vessel_encasement,0.010958904109589019,0.0127035869801311
Radio_Midline shift entity,0.008219178082191747,0.007987605335404508
Pre-Op KPS,0.005479452054794521,0.020502232256295567
ASA,0.005479452054794521,0.005125558064073878
Sex,0.0041095890410959065,0.0033554654010728604
Comorbidities_Hyperlipidemia,0.002739726027397271,0.0033554654010728604
Symptoms_CN deficits,0.002739726027397271,0.0033554654010728604
Symptoms_Hyperprolatinemia,0.002739726027397249,0.006984958237798328
Comorbidities_Prior Stroke,0.0,0.0
Comorbidities_DVT,0.0,0.0
Symptoms_Aphasia/dysartria,0.0,0.006126213636985749
Optic nerve/chiasm compression,-2.2204460492503132e-17,0.009686394262829426
Radio_Cystic_necrosis,-0.0013698630136986356,0.0051255580640739125
Comorbidities_Cardiorespiratory,-0.0013698630136986356,0.002739726027397271
Symptoms_Seizure,-0.002739726027397271,0.005479452054794542
Radio_Calcification,-0.002739726027397271,0.006984958237798364
Symptoms_Cognitive/psychiatrist disorder,-0.002739726027397271,0.0033554654010728604
Radio_Edema,-0.002739726027397271,0.005479452054794542
Symptoms_Incidental finding,-0.004109589041095885,0.009290862990582557
Symptoms_Headache,-0.0041095890410959065,0.0033554654010728604
Symptoms_Motor deficits,-0.0041095890410959065,0.005479452054794542
Radio_Tumor Location,-0.005479452054794521,0.010958904109589055
Optic Canal invasion,-0.005479452054794542,0.0051255580640739125
Radio_Ventricle involment,-0.005479452054794542,0.0051255580640739125
Symptoms_Acute onset (1<month),-0.005479452054794542,0.0051255580640739125
Radio_Tumor side,-0.005479452054794542,0.0051255580640739125
Charlson Comorbidity Index,-0.005479452054794542,0.011784007215126869
Comorbidities_DM,-0.006849315068493178,0.0043318872057101256
Date of surgery,-0.008219178082191813,0.0051255580640739125
Comorbidities_Obesity,-0.008219178082191813,0.002739726027397271
Radio_Pre-Op max_axial_diam_mm,-0.012328767123287699,0.005125558064073877
Symptoms_Nausea/Vomit,-0.012328767123287699,0.005125558064073877
Radio_Hyperostosis,-0.012328767123287721,0.002739726027397271
ICA/Syphon involvment,-0.015068493150684948,0.010066396203218527
Age,-0.01643835616438356,0.009290862990582552
Radio_Dural_tail,-0.01780821917808222,0.005479452054794493
Symptoms_Visual deficits,-0.01780821917808222,0.008219178082191763
Comorbidities_Other Tumors,-0.021917808219178082,0.006710930802145693
Comorbidities_Hypertension,-0.024657534246575373,0.011942188886412798
