Feature,Importance,Std
ICA/Syphon involvment,0.028926647326978805,0.008016251912557098
Radio_Vessel_encasement,0.024948197264815543,0.020949261807135758
Radio_Pre-Op max_axial_diam_mm,0.022710319104848664,0.027376196319997294
Pre-Op KPS,0.02096974720265221,0.025532693217724223
Radio_Tumor Location,0.0166597596353087,0.005393219555738923
Radio_Midline shift entity,0.012681309573145371,0.0026026222077260926
Symptoms_Acute onset (1<month),0.011520928305014454,0.005623935500600851
Comorbidities_Hypertension,0.01044343141317856,0.00944081789486552
Radio_Calcification,0.009117281392457533,0.007076792111441845
Symptoms_Motor deficits,0.008785743887277242,0.006523163653527083
Radio_Tumor side,0.007293825113965991,0.005781742238407042
Radio_Hyperostosis,0.007210940737670901,0.016171164515714
Radio_Ventricle involment,0.006713634479900454,0.006449022350245179
Comorbidities_Cardiorespiratory,0.00596767509324494,0.011435641230671997
Sex,0.0057190219643596715,0.0024643296721622125
Optic nerve/chiasm compression,0.0057190219643596055,0.00733140302942262
Radio_Edema,0.00372979693327804,0.002472678639067745
Symptoms_Hyperprolatinemia,0.0036469125569829953,0.004749788240992732
Symptoms_Visual deficits,0.003398259428097772,0.004982723038603943
Comorbidities_Hyperlipidemia,0.003398259428097772,0.00409754068605326
Symptoms_Incidental finding,0.003066721922917526,0.001971881848880259
Symptoms_Seizure,0.002735184417737213,0.001326150020721073
ASA,0.0023207625362619,0.0025627227242006312
Symptoms_CN deficits,0.0016576875259013634,0.001310517057674429
Radio_Cystic_necrosis,0.0011603812681309166,0.001468714889902162
Symptoms_Aphasia/dysartria,0.0006630750103605365,0.002367651364622567
Comorbidities_Obesity,0.0005801906340654695,0.001326150020721073
Optic Canal invasion,0.00041442188147535754,0.004000834939460328
Comorbidities_DVT,8.288437629506706e-05,0.00016576875259013412
Comorbidities_Prior Stroke,8.288437629506706e-05,0.0001657687525901341
Date of surgery,0.0,0.0
Symptoms_Cognitive/psychiatrist disorder,-0.0004144218814753797,0.0027614307913729997
Radio_Bone_invasion,-0.0005801906340655138,0.0016700739063083227
Comorbidities_Other Tumors,-0.0008288437629507151,0.003417410381780072
Symptoms_Nausea/Vomit,-0.001823456278491542,0.004048628177975882
Comorbidities_DM,-0.002983837546622481,0.004277990186676794
Charlson Comorbidity Index,-0.004227103191048576,0.009727533006424118
Age,-0.004392871943638732,0.007453144515993775
Symptoms_Headache,-0.005055946953999202,0.0027036065363116755
Radio_Dural_tail,-0.006216328222130252,0.0061636112532376585
