Feature,Importance,Std
Radio_Vessel_encasement,0.04956485702445086,0.028634842693573814
Symptoms_Incidental finding,0.03912142561127228,0.005881871528954878
Radio_Hyperostosis,0.03854123497720678,0.009626726835132784
Symptoms_Motor deficits,0.03762950683796109,0.01222481331820549
ICA/Syphon involvment,0.035723166183174504,0.009599570993064997
Radio_Pre-Op max_axial_diam_mm,0.02387070037297969,0.013633409163664874
Radio_Calcification,0.0207210940737671,0.009432081787601364
Pre-Op KPS,0.02014090343970163,0.02440603610813136
Symptoms_Acute onset (1<month),0.016825528387898924,0.0023964910559139546
Comorbidities_Hypertension,0.01657687525901368,0.020961719313340833
Age,0.011686697057604634,0.012020806561317862
Comorbidities_DM,0.011189390799834253,0.010565726302513047
Radio_Cystic_necrosis,0.01118939079983423,0.006246645232131557
Symptoms_Hyperprolatinemia,0.009946125155408204,0.008213502953559874
Radio_Tumor side,0.009697472026523001,0.008479359314287028
Optic Canal invasion,0.00812266887691675,0.013192943390681496
Radio_Tumor Location,0.006879403232490677,0.007549306282128968
Radio_Ventricle involment,0.006464981351015364,0.008691406036580727
Symptoms_Aphasia/dysartria,0.005553253211769538,0.014145330412539446
Sex,0.00538748445917947,0.011297842825620387
Radio_Bone_invasion,0.004392871943638665,0.011022687221407718
Comorbidities_Obesity,0.0036469125569829953,0.00696623336575238
Comorbidities_Hyperlipidemia,0.0017405719021964527,0.009731063487071156
Symptoms_Cognitive/psychiatrist disorder,0.0016576875259013857,0.0047829384322431905
Comorbidities_Prior Stroke,0.0014090343970161623,0.001971881848880275
Date of surgery,2.2204460492503132e-17,0.002013254505013037
Symptoms_Seizure,-0.0008288437629506706,0.005694343650996323
Comorbidities_DVT,-0.0009946125155408491,0.0012999906457818746
Comorbidities_Other Tumors,-0.0034811438043928387,0.008467197870947138
Radio_Midline shift entity,-0.003978450062163264,0.010166774769792677
Symptoms_Nausea/Vomit,-0.0046415250725238225,0.004164063551456448
Radio_Edema,-0.005138831330294224,0.012470174086932647
ASA,-0.0062163282221300966,0.008150531135641577
Symptoms_Visual deficits,-0.008288437629506817,0.011036390064403896
Comorbidities_Cardiorespiratory,-0.010277662660588448,0.013024719996084823
Charlson Comorbidity Index,-0.0117695814338997,0.006592304624997298
Optic nerve/chiasm compression,-0.01276419394944055,0.009231102058732472
Symptoms_CN deficits,-0.014836303356817248,0.008058987325275916
Symptoms_Headache,-0.018731869042685423,0.017944802447800744
Radio_Dural_tail,-0.025942809780356367,0.01197557342472076
