Feature,Importance,Std
Radio_Vessel_encasement,0.042685453791960225,0.03942631270863429
Symptoms_Acute onset (1<month),0.030832987981765415,0.011629242161406305
Symptoms_Motor deficits,0.027351844177372554,0.006993791333519734
Pre-Op KPS,0.0207210940737671,0.023602408570412167
Comorbidities_Hypertension,0.019892250310816408,0.01003209153494425
ICA/Syphon involvment,0.0140074595938666,0.007170336926276694
Radio_Tumor Location,0.012847078325735617,0.011086075808286945
Radio_Hyperostosis,0.008619975134687107,0.019961889430638605
Radio_Dural_tail,0.007376709490261058,0.00661726768544119
Comorbidities_Hyperlipidemia,0.007293825113966035,0.004311581203030245
Radio_Pre-Op max_axial_diam_mm,0.0037297969332780847,0.061625523140460374
Comorbidities_DM,0.0029009531703273693,0.016033360788731663
Symptoms_Incidental finding,0.0018234562784914753,0.000722569240537191
Radio_Ventricle involment,-0.0014090343970161623,0.008523802822831293
Radio_Calcification,-0.003315375051802727,0.012449222282979592
