Feature,Importance,Std
Symptoms_Motor deficits,0.034479900538748456,0.012111900459112349
Comorbidities_Hypertension,0.03249067550766684,0.016520001898257548
ICA/Syphon involvment,0.030915872358060502,0.012764193949440531
Radio_Vessel_encasement,0.023787815996684624,0.01053838258147682
Radio_Hyperostosis,0.02154993783671779,0.01760780988937602
Symptoms_Acute onset (1<month),0.02113551595524239,0.010242175006436354
Radio_Pre-Op max_axial_diam_mm,0.01268130957314546,0.013156442548538412
Radio_Ventricle involment,0.010277662660588494,0.006064735393262058
Comorbidities_DM,0.008951512639867376,0.011128134269700541
Radio_Dural_tail,0.008205553253211794,0.012790539063020325
Symptoms_Incidental finding,0.006464981351015364,0.0022022926242166014
Comorbidities_Hyperlipidemia,0.0034811438043929276,0.005476644355302674
Radio_Tumor Location,0.0029838375466224587,0.002305914254992721
Radio_Calcification,0.0009946125155408715,0.0037855573134419254
Pre-Op KPS,-0.002735184417737302,0.009717640836937977
