Feature,Importance,Std
Radio_Vessel_encasement,0.04169084127641942,0.030588265431163112
Pre-Op KPS,0.025362619146290965,0.03700153880532292
ICA/Syphon involvment,0.020306672192291784,0.013906308939546247
Comorbidities_Hypertension,0.018897637795275667,0.014369387771417707
Symptoms_Acute onset (1<month),0.01848321591380031,0.008774007126610675
Symptoms_Motor deficits,0.00903439701616251,0.006254338824670828
Radio_Tumor Location,0.006299212598425275,0.012055047439337675
Comorbidities_Hyperlipidemia,0.0045586406962287995,0.004666618569501628
Radio_Pre-Op max_axial_diam_mm,0.004309987567343554,0.028303042443219902
Comorbidities_DM,0.0034811438043929276,0.004822987658839984
Radio_Ventricle involment,-0.0004973062577703802,0.002839924028016869
Symptoms_Incidental finding,-0.0006630750103605365,0.004984101575921403
Radio_Hyperostosis,-0.00372979693327804,0.018677511910356433
Radio_Dural_tail,-0.009946125155408181,0.007841229974481768
Radio_Calcification,-0.014587650227932004,0.008761470585645604
