Feature,Importance,Std
Symptoms_Acute onset (1<month),0.05520099461251553,0.018023111857347573
Radio_Vessel_encasement,0.03622047244094493,0.010499196590859503
Comorbidities_Hypertension,0.034314131786158344,0.021037615667517575
Radio_Hyperostosis,0.025031081641110675,0.021981711667468897
ICA/Syphon involvment,0.02378781599668465,0.01269132758318855
Comorbidities_Hyperlipidemia,0.019975134687111495,0.017694212870501658
Symptoms_Incidental finding,0.013593037712391221,0.01733334072279184
Symptoms_Motor deficits,0.013427268959801087,0.013056854483226025
Radio_Calcification,0.009365934521342711,0.023286822419613454
Comorbidities_DM,0.007459593866556169,0.012246149067047405
Radio_Ventricle involment,0.0038955656858682187,0.015189791602874668
Radio_Tumor Location,0.0033982594280978383,0.015263782946709381
Radio_Pre-Op max_axial_diam_mm,-0.0014090343970160958,0.035087218942800154
Pre-Op KPS,-0.01292996270203064,0.023794313013504854
Radio_Dural_tail,-0.032739328636552004,0.019101207589425143
