Feature,Importance,Std
Comorbidities_Hypertension,0.010958904109589085,0.006984958237798364
Radio_Vessel_encasement,0.002739726027397316,0.010251116128147783
Radio_Ventricle involment,4.4408920985006264e-17,0.00750304873294747
Comorbidities_Hyperlipidemia,4.4408920985006264e-17,0.0061262136369857004
ICA/Syphon involvment,2.2204460492503132e-17,0.007503048732947471
Comorbidities_DM,-0.004109589041095841,0.006984958237798315
Symptoms_Acute onset (1<month),-0.006849315068493111,0.009686394262829408
Symptoms_Motor deficits,-0.006849315068493111,0.0061262136369857004
Radio_Pre-Op max_axial_diam_mm,-0.008219178082191747,0.01643835616438354
Radio_Tumor Location,-0.009589041095890339,0.0033554654010728604
Symptoms_Incidental finding,-0.009589041095890361,0.009290862990582557
Radio_Dural_tail,-0.021917808219178037,0.011784007215126898
Radio_Hyperostosis,-0.024657534246575286,0.011128819732378021
Pre-Op KPS,-0.0328767123287671,0.007987605335404508
Radio_Calcification,-0.03424657534246571,0.00968639426282941
