Feature,Importance,Std
Radio_Vessel_encasement,0.07324561403508785,0.02779384645184246
Pre-Op KPS,0.07149122807017552,0.025208925647969515
ICA/Syphon involvment,0.04117933723196883,0.011658280935253453
Symptoms_CN deficits,0.02743664717348928,0.005156488914780235
Comorbidities_Cardiorespiratory,0.00882066276803124,0.009217356709065223
Age,0.008771929824561476,0.015755896481090517
Charlson Comorbidity Index,0.006578947368421062,0.004166595419064162
Radio_Hyperostosis,0.0045321637426901425,0.004390294592419164
Radio_Tumor side,0.0036062378167641684,0.00443817741521537
Comorbidities_Other Tumors,6.661338147750939e-17,0.00030821419689751166
Radio_Tumor Location,-0.0013645224171539017,0.010465222320569154
Optic Canal invasion,-0.0026803118908381275,0.007309941520467807
Radio_Pre-Op max_axial_diam_mm,-0.00287524366471732,0.023956789856900126
Symptoms_Incidental finding,-0.009844054580896633,0.01102118977735445
Optic nerve/chiasm compression,-0.01876218323586736,0.0070889265286425635
