Feature,Importance,Std
ICA/Syphon involvment,0.08494152046783623,0.024487322141436646
Radio_Vessel_encasement,0.060964912280701666,0.023962241531697067
Pre-Op KPS,0.039278752436647094,0.013803041689746973
Comorbidities_Cardiorespiratory,0.02032163742690052,0.011277860283600184
Radio_Pre-Op max_axial_diam_mm,0.018079922027290363,0.008854656476198068
Radio_Hyperostosis,0.016569200779727077,0.005922606667609883
Symptoms_CN deficits,0.015302144249512617,0.006153486985444259
Charlson Comorbidity Index,0.013401559454191015,0.007617007391789254
Symptoms_Incidental finding,0.0029727095516568713,0.007752061920135777
Age,0.0014619883040934533,0.005228297663573617
Radio_Tumor Location,-0.0016569200779727566,0.01647966290170975
Comorbidities_Other Tumors,-0.00550682261208586,0.0022888925079566284
Radio_Tumor side,-0.009990253411306105,0.009275916073438695
Optic Canal invasion,-0.011549707602339287,0.007589833268589399
Optic nerve/chiasm compression,-0.020029239766081973,0.002557435041598781
