Feature,Importance,Std
Pre-Op KPS,0.10453216374269007,0.04216427665374179
Radio_Vessel_encasement,0.08206627680311893,0.02466214372392929
ICA/Syphon involvment,0.04410331384015596,0.016444751073240435
Radio_Tumor Location,0.017738791423001943,0.014626704061821101
Symptoms_CN deficits,0.01613060428849904,0.006607583335936939
Radio_Pre-Op max_axial_diam_mm,0.008187134502923988,0.02023949019417599
Comorbidities_Cardiorespiratory,0.0071150097465886965,0.008106970857872391
Charlson Comorbidity Index,0.005945419103313876,0.004122472901083205
Comorbidities_Other Tumors,0.0005360623781676566,0.0024820334460520215
Symptoms_Incidental finding,0.000243664717348957,0.008955465679939498
Age,0.00014619883040933868,0.011625233194943792
Radio_Tumor side,-0.0014619883040935644,0.010651242296266891
Optic nerve/chiasm compression,-0.006822612085769975,0.01474282292490376
Optic Canal invasion,-0.007358674463937587,0.008295200190675924
Radio_Hyperostosis,-0.009551656920077978,0.0025200162717052745
