Feature,Importance,Std
ICA/Syphon involvment,0.07129629629629619,0.022498897491735306
Radio_Vessel_encasement,0.06617933723196875,0.032109278122650256
Pre-Op KPS,0.03513645224171531,0.011656651147256065
Radio_Pre-Op max_axial_diam_mm,0.025438596491228038,0.009226627633445223
Comorbidities_Cardiorespiratory,0.023001949317738735,0.010536463594577323
Charlson Comorbidity Index,0.01807992202729043,0.007852509017372077
Radio_Hyperostosis,0.012378167641325488,0.0038446555406074405
Symptoms_CN deficits,0.011598440545808919,0.0043111443576211396
Age,0.00219298245614028,0.004868418613544739
Symptoms_Incidental finding,0.001998050682261132,0.007495056996307
Comorbidities_Other Tumors,0.0,0.0012036149157142648
Optic Canal invasion,-0.002290448343079987,0.0012095198485371549
Radio_Tumor side,-0.013157894736842146,0.007234831797230278
Optic nerve/chiasm compression,-0.017836257309941584,0.002374449846994132
Radio_Tumor Location,-0.019298245614035193,0.021380603572050422
