Feature,Importance,Std
Radio_Vessel_encasement,0.049315068493150704,0.03224274601627348
ICA/Syphon involvment,0.0397260273972603,0.020502232256295577
Pre-Op KPS,0.024657534246575352,0.015975210670809065
Symptoms_Incidental finding,0.013698630136986311,0.018378640910957166
Comorbidities_Cardiorespiratory,0.0027397260273972933,0.01112881973237804
Radio_Tumor Location,0.0,0.013698630136986288
Symptoms_CN deficits,0.0,0.013698630136986288
Optic Canal invasion,-0.005479452054794498,0.007987605335404508
Radio_Hyperostosis,-0.006849315068493134,0.01146109625389144
Radio_Pre-Op max_axial_diam_mm,-0.009589041095890382,0.023568014430253758
Optic nerve/chiasm compression,-0.015068493150684903,0.010958904109589053
Comorbidities_Other Tumors,-0.016438356164383515,0.0033554654010728604
Radio_Tumor side,-0.01643835616438356,0.014753876183930157
Charlson Comorbidity Index,-0.01643835616438356,0.010251116128147783
Age,-0.02465753424657533,0.006984958237798364
