Feature,Importance,Std
Symptoms_CN deficits,0.052717391304347896,0.0030529528163682432
Radio_Tumor Location,0.01322463768115949,0.008093589820177048
Radio_Tumor side,0.00833333333333337,0.014188379890725578
Pre-Op KPS,0.006884057971014501,0.03610757661276759
Comorbidities_Obesity,0.0,0.0
Comorbidities_Hypertension,-0.0010869565217390908,0.01501985313635806
Symptoms_Motor deficits,-0.002173913043478226,0.008886049614804836
Radio_Pre-Op max_axial_diam_mm,-0.00398550724637674,0.053803432871740324
Age,-0.02155797101449273,0.03310511826413712
Radio_Dural_tail,-0.023550724637681132,0.006170067523886372
Comorbidities_DM,-0.023913043478260863,0.022287763042361887
ICA/Syphon involvment,-0.024094202898550708,0.023260474510167297
ASA,-0.02626811594202898,0.02373119259972871
Comorbidities_Other Tumors,-0.030978260869565188,0.0037303007757199173
Radio_Vessel_encasement,-0.03188405797101446,0.013476605009708154
