Feature,Importance,Std
Pre-Op KPS,0.055253623188405834,0.05024357808970673
Radio_Tumor Location,0.053804347826086965,0.05082998894036255
Symptoms_CN deficits,0.04094202898550727,0.01648849312026488
Radio_Tumor side,0.028804347826086985,0.02492111056379369
ICA/Syphon involvment,0.023913043478260863,0.03586590524439904
Symptoms_Motor deficits,0.021920289855072505,0.004263986339108626
Radio_Pre-Op max_axial_diam_mm,0.018297101449275367,0.015193649526276654
Comorbidities_DM,-0.008152173913043482,0.0055542426509984704
Comorbidities_Obesity,-0.010144927536231885,0.006019292654288464
Radio_Vessel_encasement,-0.011594202898550754,0.04521515578829136
ASA,-0.01358695652173909,0.013796690409173773
Radio_Dural_tail,-0.015217391304347804,0.002998721985008448
Age,-0.018659420289855056,0.01668831297525584
Comorbidities_Other Tumors,-0.019565217391304325,0.006841017242209861
Comorbidities_Hypertension,-0.04456521739130439,0.03451740685163639
