Feature,Importance,Std
Radio_Pre-Op max_axial_diam_mm,0.01413043478260867,0.029710144927536236
Symptoms_CN deficits,0.01376811594202898,0.009879418988721715
Comorbidities_Obesity,-0.009601449275362328,0.0026001268286969473
Radio_Tumor side,-0.0193840579710145,0.027703771400306876
Symptoms_Motor deficits,-0.021376811594202925,0.029699096567135045
Comorbidities_DM,-0.022101449275362374,0.012160642352781486
ICA/Syphon involvment,-0.023731884057971064,0.03450314208437549
Comorbidities_Hypertension,-0.024094202898550778,0.028881152729535692
Radio_Vessel_encasement,-0.034057971014492774,0.02521697484247148
Radio_Tumor Location,-0.03532608695652175,0.019787054233207473
ASA,-0.0360507246376812,0.02191504908006082
Radio_Dural_tail,-0.036594202898550754,0.028214380194104025
Pre-Op KPS,-0.040036231884057985,0.02459635280501056
Comorbidities_Other Tumors,-0.04456521739130439,0.00368604890387242
Age,-0.06032608695652175,0.015590239111558072
