Feature,Importance,Std
Comorbidities_Other Tumors,0.04510869565217394,0.013943392322386877
Radio_Pre-Op max_axial_diam_mm,0.04076086956521742,0.03768812644621985
Radio_Vessel_encasement,0.029166666666666684,0.0112901713412195
Comorbidities_Obesity,-0.004528985507246297,0.024196822981252166
ICA/Syphon involvment,-0.007246376811594157,0.03779247771131973
Symptoms_CN deficits,-0.008695652173913016,0.03798995544845828
Radio_Tumor Location,-0.01739130434782603,0.0341349730820692
Radio_Tumor side,-0.01920289855072459,0.016378655148254647
Symptoms_Motor deficits,-0.026268115942028925,0.026803024482380082
Comorbidities_Hypertension,-0.02626811594202897,0.046933927289018205
Age,-0.034420289855072436,0.007979244762878746
Comorbidities_DM,-0.039673913043478184,0.022694872457778077
Pre-Op KPS,-0.05072463768115938,0.035927160610953066
Radio_Dural_tail,-0.05869565217391297,0.015567065984739706
ASA,-0.08278985507246372,0.04145583078798688
